siteid,sitename,datacreationdate,aqi,status,pm2.5,pm10,so2,o3,no2,no,co
313,Pingtung（fangshan）,2024-05-27 20:00,28,Good,3,14,0.3,29.1,1.3,0.2,0.07
312,Taichung（Rilana Elementary）,2024-05-27 20:00,23,Good,5,10,0.3,19.3,9.6,0.7,0.27
311,New Taipei(Shulin),2024-05-27 20:00,45,Good,15,33,,,,,
204,Pingtung（Liuqiu）,2024-05-27 20:00,21,Good,8,11,0.9,15.8,2.9,0.7,0.13
203,Tainan（Madou）,2024-05-27 20:00,19,Good,6,22,0.2,13.1,9.4,0.7,0.18
202,Kaohsiung（Hunei）,2024-05-27 20:00,15,Good,6,14,0.4,10.6,7.6,2.1,0.19
201,Changhua（Yuanlin）,2024-05-27 20:00,38,Good,19,20,1.3,12.8,11.5,1.3,0.3
85,Dacheng,2024-05-27 20:00,23,Good,2,7,0.6,19.3,2.7,2.1,0.05
84,FugueiCape,2024-05-27 20:00,31,Good,8,29,0.3,12.9,4,0.3,0.16
83,Mailiao,2024-05-27 20:00,19,Good,3,17,0.9,17.5,3.4,1.8,0.14
80,Guanshan,2024-05-27 20:00,20,Good,6,25,1,10.8,2.1,0.8,0.11
78,Magong,2024-05-27 20:00,27,Good,2,3,0.9,17.2,6.4,1.3,0.19
77,Kinmen,2024-05-27 20:00,24,Good,10,21,0.5,21.3,5.7,0.7,0.14
75,Matsu,2024-05-27 20:00,25,Good,3,16,0.4,20.6,4.1,0.5,0.1
72,Puli,2024-05-27 20:00,18,Good,5,14,1,11.4,4.7,1.5,0.17
71,Fuxing,2024-05-27 20:00,30,Good,5,8,0.4,6.6,18.9,2.1,0.27
70,Yonghe,2024-05-27 20:00,38,Good,13,17,0.8,7.7,23.3,5.9,0.88
69,Zhushan,2024-05-27 20:00,20,Good,7,25,1,4.2,10.5,2.1,0.26
68,Zhongli,2024-05-27 20:00,43,Good,9,22,0.9,4.3,26,34.2,1.68
67,Sanchong,2024-05-27 20:00,61,Moderate,14,26,0.8,2.5,45.7,50.2,1.66
66,Dongshan,2024-05-27 20:00,22,Good,7,19,0.7,15.6,9.8,0.8,0.22
65,Yilan,2024-05-27 20:00,26,Good,3,12,0.3,23.8,7.8,0.6,0.25
64,Yangming,2024-05-27 20:00,27,Good,2,15,0.3,23,4.8,0.8,0.18
63,Hualien,2024-05-27 20:00,25,Good,9,10,0.6,24.3,5.4,1,0.3
62,Taitung,2024-05-27 20:00,21,Good,5,18,0,20,3.2,1.2,0.13
61,Hengchun,2024-05-27 20:00,22,Good,10,11,0.5,24.3,1,0.9,0.11
60,Chaozhou,2024-05-27 20:00,20,Good,4,29,0.6,11.9,4.8,0.4,0.11
59,Pingtung,2024-05-27 20:00,20,Good,6,14,0.7,13,9.7,1.3,0.37
58,Xiaogang,2024-05-27 20:00,28,Good,9,6,3.3,10.2,15.5,1.6,0.15
57,Qianzhen,2024-05-27 20:00,38,Good,3,16,2,4,23,7,0.4
56,Qianjin,2024-05-27 20:00,22,Good,3,15,0.7,11.2,13,0.9,0.15
54,Zuoying,2024-05-27 20:00,27,Good,12,15,1.2,8.2,13,0.9,0.28
53,Nanzi,2024-05-27 20:00,25,Good,8,21,0.8,7.3,15.6,1.8,0.3
52,Linyuan,2024-05-27 20:00,20,Good,6,29,0.6,25.7,1.2,0.3,0.1
51,Daliao,2024-05-27 20:00,21,Good,4,14,0.7,15.7,4.8,0.5,0.13
50,Fengshan,2024-05-27 20:00,20,Good,6,20,1.4,14.1,8.1,1.9,0.3
49,Renwu,2024-05-27 20:00,22,Good,3,10,0.8,12.3,13.6,1,0.3
48,Qiaotou,2024-05-27 20:00,17,Good,4,10,0.6,10.7,7.8,1.7,0.26
47,Meinong,2024-05-27 20:00,20,Good,5,12,0.7,14.1,3.3,0.4,0.14
46,Tainan,2024-05-27 20:00,27,Good,14,20,0.2,12.8,9.7,1,0.28
45,Annan,2024-05-27 20:00,26,Good,12,24,0.7,11.6,12.6,2.1,0.32
