siteid,sitename,datacreationdate,aqi,status,o3,co,pm10,no
313,Pingtung（fangshan）,2024-05-28 05:00,20,Good,12.8,0.12,23,0
312,Taichung（Rilana Elementary）,2024-05-28 05:00,13,Good,13.4,0.12,6,0.4
311,New Taipei(Shulin),2024-05-28 05:00,36,Good,2.1,0.23,34,8.9
204,Pingtung（Liuqiu）,2024-05-28 05:00,16,Good,11,0.05,10,0.8
203,Tainan（Madou）,2024-05-28 05:00,22,Good,0.6,0.18,26,3.2
202,Kaohsiung（Hunei）,2024-05-28 05:00,34,Good,0.9,0.34,24,4.6
201,Changhua（Yuanlin）,2024-05-28 05:00,28,Good,10.8,0.12,23,0.3
85,Dacheng,2024-05-28 05:00,18,Good,14.4,0.08,11,0.9
84,FugueiCape,2024-05-28 05:00,30,Good,23.8,0.11,36,0
83,Mailiao,2024-05-28 05:00,20,Good,13.7,0.13,16,0.8
80,Guanshan,2024-05-28 05:00,19,Good,4.2,0.09,18,1.4
78,Magong,2024-05-28 05:00,16,Good,18.6,0.09,11,0.3
77,Kinmen,2024-05-28 05:00,37,Good,4.9,0.18,18,0.9
75,Matsu,2024-05-28 05:00,25,Good,47.4,0.18,14,0.4
72,Puli,2024-05-28 05:00,19,Good,3.5,0.11,22,1.1
71,Fuxing,2024-05-28 05:00,25,Good,3.3,0.17,8,1
70,Yonghe,2024-05-28 05:00,21,Good,3.5,0.26,21,3.1
69,Zhushan,2024-05-28 05:00,27,Good,2.3,0.08,28,0.6
68,Zhongli,2024-05-28 05:00,22,Good,15.3,0.14,11,2.6
67,Sanchong,2024-05-28 05:00,33,Good,0.8,0.55,25,35.3
66,Dongshan,2024-05-28 05:00,29,Good,5.9,0.22,31,0.7
65,Yilan,2024-05-28 05:00,17,Good,10.2,0.13,15,0.7
64,Yangming,2024-05-28 05:00,19,Good,21.6,0.12,10,0.8
63,Hualien,2024-05-28 05:00,31,Good,4.2,0.23,20,0.6
62,Taitung,2024-05-28 05:00,20,Good,7.7,0.08,19,0.9
61,Hengchun,2024-05-28 05:00,19,Good,18,0.1,15,0.4
60,Chaozhou,2024-05-28 05:00,21,Good,0.4,0.13,24,2.6
59,Pingtung,2024-05-28 05:00,21,Good,4.9,0.1,18,0.5
58,Xiaogang,2024-05-28 05:00,31,Good,0,0.21,11,8.6
57,Qianzhen,2024-05-28 05:00,28,Good,1,0.21,15,3
56,Qianjin,2024-05-28 05:00,22,Good,3.8,0.16,13,1.7
54,Zuoying,2024-05-28 05:00,27,Good,10.3,0.15,13,0.9
53,Nanzi,2024-05-28 05:00,28,Good,,0.38,29,14.6
52,Linyuan,2024-05-28 05:00,26,Good,3.7,0.17,32,0.7
51,Daliao,2024-05-28 05:00,23,Good,0.1,0.18,26,6.2
50,Fengshan,2024-05-28 05:00,18,Good,1.6,0.27,20,1.6
49,Renwu,2024-05-28 05:00,25,Good,2.7,0.25,12,1.4
48,Qiaotou,2024-05-28 05:00,22,Good,0.1,0.23,26,6.7
47,Meinong,2024-05-28 05:00,18,Good,3.1,0.12,29,1
46,Tainan,2024-05-28 05:00,37,Good,12.2,0.12,22,0.6
45,Annan,2024-05-28 05:00,39,Good,10.9,0.19,25,0.5
44,Shanhua,2024-05-28 05:00,22,Good,4.8,0.1,18,1.7
43,Xinying,2024-05-28 05:00,19,Good,10.4,0.14,21,1.5
42,Chiayi,2024-05-28 05:00,16,Good,15.1,0.09,15,0.7
41,Taixi,2024-05-28 05:00,17,Good,12.6,0.12,23,0.7
40,Puzi,2024-05-28 05:00,31,Good,4.8,0.15,22,1.4
39,Xingang,2024-05-28 05:00,26,Good,11.3,0.13,22,0.8
38,Lunbei,2024-05-28 05:00,27,Good,9,0.14,20,0.7
37,Douliu,2024-05-28 05:00,17,Good,11.1,0.11,16,0.6
36,Nantou,2024-05-28 05:00,21,Good,4.7,0.1,25,1
35,Erlin,2024-05-28 05:00,23,Good,6.1,0.15,25,0.7
34,Xianxi,2024-05-28 05:00,15,Good,8.1,0.13,15,0
33,Changhua,2024-05-28 05:00,16,Good,10.4,0.1,14,0.1
32,Xitun,2024-05-28 05:00,18,Good,6.9,0.11,15,0.3
31,Zhongming,2024-05-28 05:00,13,Good,14.3,0.12,12,1.6
30,Dali,2024-05-28 05:00,18,Good,15,0.15,7,0
29,Shalu,2024-05-28 05:00,27,Good,10.5,0.11,16,0.6
28,Fengyuan,2024-05-28 05:00,19,Good,19.8,0.11,12,0.6
27,Sanyi,2024-05-28 05:00,19,Good,20.6,0.1,10,1.2
26,Miaoli,2024-05-28 05:00,19,Good,18.3,0.08,10,0.4
25,Toufen,2024-05-28 05:00,19,Good,19,0.09,10,1.3
24,Hsinchu,2024-05-28 05:00,18,Good,17.6,0.11,5,0.7
23,Zhudong,2024-05-28 05:00,18,Good,20.4,0.09,12,0.3
