siteid,sitename,datacreationdate,aqi,status,pm2.5,pm10,o3,co,no2,no,so2
313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,0,10,20.6,0.09,1.7,0.2,0
312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,3,16,11.2,0,7.3,0.4,0
311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,14,26,5.6,0.28,7.1,0.9,0.4
204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,6,8,25.7,0.06,0.7,1.1,0.4
203,Tainan（Madou）,2024-05-31 03:00,17,Good,5,11,19.4,0.09,3.2,0.3,0.4
202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,6,6,17.1,0.14,4.8,1,1.2
201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,8,27,8.7,0.21,8.4,1.5,1.5
85,Dacheng,2024-05-31 03:00,16,Good,4,8,20,0.07,4.1,0.7,1.2
84,FugueiCape,2024-05-31 03:00,27,Good,9,27,20.1,0.22,9.2,0.1,0.9
83,Mailiao,2024-05-31 03:00,21,Good,5,7,21.9,0.11,3.3,0.5,1.1
80,Guanshan,2024-05-31 03:00,23,Good,4,28,5.2,0.1,1.6,1.2,0.3
78,Magong,2024-05-31 03:00,26,Good,1,6,27.3,0.08,2.6,0.1,0.6
77,Kinmen,2024-05-31 03:00,81,Moderate,30,36,4,0.38,27.3,1.6,1.7
75,Matsu,2024-05-31 03:00,37,Good,11,16,40.1,0.19,5.4,1,0.7
72,Puli,2024-05-31 03:00,33,Good,10,22,7.9,0.18,2.1,1.5,0.8
71,Fuxing,2024-05-31 03:00,18,Good,1,4,21.1,0.11,4,1.3,4.2
70,Yonghe,2024-05-31 03:00,57,Moderate,9,12,7.1,0.22,4.6,1.5,0.7
69,Zhushan,2024-05-31 03:00,25,Good,6,31,3.6,0.1,4.7,1.3,0.7
68,Zhongli,2024-05-31 03:00,53,Moderate,20,42,4,0.74,23,6.4,2.2
67,Sanchong,2024-05-31 03:00,39,Good,12,27,4.1,0.45,15.1,4.3,0.6
66,Dongshan,2024-05-31 03:00,24,Good,6,27,4.7,0.39,4.8,1.2,0.2
65,Yilan,2024-05-31 03:00,17,Good,1,17,9,0.15,2.4,0.5,1.6
64,Yangming,2024-05-31 03:00,26,Good,7,13,30.5,0.15,2.3,0.7,0.6
63,Hualien,2024-05-31 03:00,20,Good,4,10,11.4,0.16,1.1,0.7,0.1
62,Taitung,2024-05-31 03:00,17,Good,3,17,13,0.09,2.8,1.3,0.6
61,Hengchun,2024-05-31 03:00,25,Good,4,12,30.1,0.07,0.6,0.3,0.1
60,Chaozhou,2024-05-31 03:00,16,Good,2,18,14.6,0.07,1.3,1.8,0.4
59,Pingtung,2024-05-31 03:00,20,Good,2,12,18,0.1,3,0.5,0.5
58,Xiaogang,2024-05-31 03:00,31,Good,6,9,20,0.11,6.8,0.4,1.4
57,Qianzhen,2024-05-31 03:00,17,Good,0,5,21.4,0.09,5.8,0.3,6.8
56,Qianjin,2024-05-31 03:00,18,Good,2,4,21.9,0.12,4.3,0.2,1.3
54,Zuoying,2024-05-31 03:00,26,Good,5,5,21.8,0.11,4.1,0.5,0.5
53,Nanzi,2024-05-31 03:00,18,Good,3,9,20.1,0.1,7.4,0.8,0.9
52,Linyuan,2024-05-31 03:00,26,Good,5,13,19,0.1,1.8,0,1
51,Daliao,2024-05-31 03:00,21,Good,4,7,16.9,0.09,3.1,0.3,0.4
50,Fengshan,2024-05-31 03:00,21,Good,0,4,22.6,0.1,1.5,0.1,0.5
49,Renwu,2024-05-31 03:00,23,Good,5,3,24,0.1,3.2,0.2,1.4
48,Qiaotou,2024-05-31 03:00,18,Good,0,7,18.7,0.07,3.5,0.8,0.3
47,Meinong,2024-05-31 03:00,17,Good,0,7,24.3,0.1,0.8,0.7,0.1
46,Tainan,2024-05-31 03:00,27,Good,6,15,20.6,0.12,5.3,1,1
45,Annan,2024-05-31 03:00,24,Good,6,17,21,0.14,5.7,0.5,0.8
44,Shanhua,2024-05-31 03:00,24,Good,3,7,20.5,0.06,2.1,0.5,0.3
43,Xinying,2024-05-31 03:00,19,Good,0,6,19.8,0.1,2.6,1,0.7
42,Chiayi,2024-05-31 03:00,19,Good,2,7,21.9,0.08,1.1,0.5,0.8
41,Taixi,2024-05-31 03:00,19,Good,3,12,20.6,0.11,3.8,0.5,1.1
40,Puzi,2024-05-31 03:00,17,Good,,12,18.7,0.1,4,1.2,1.1
39,Xingang,2024-05-31 03:00,22,Good,5,11,22.4,0.09,2.4,0.5,0.9
38,Lunbei,2024-05-31 03:00,20,Good,5,13,20.6,0.11,1.7,0,0.2
37,Douliu,2024-05-31 03:00,23,Good,5,27,7.5,0.14,7.9,2.4,1.2
36,Nantou,2024-05-31 03:00,28,Good,4,31,4.8,0.14,4.8,0.4,0.2
35,Erlin,2024-05-31 03:00,44,Good,13,25,11.7,0.14,7.3,0.2,1.3
34,Xianxi,2024-05-31 03:00,28,Good,8,20,4.3,0.21,9.1,2,0.3
33,Changhua,2024-05-31 03:00,23,Good,3,13,16.2,0.13,5.1,0.8,0.6
32,Xitun,2024-05-31 03:00,30,Good,8,25,6.8,0.17,6.5,1,0.7
31,Zhongming,2024-05-31 03:00,26,Good,9,19,6.2,0.22,6.5,0.9,1.4
30,Dali,2024-05-31 03:00,31,Good,3,12,8.8,0.14,4.6,0,0.9
29,Shalu,2024-05-31 03:00,26,Good,6,12,18,0.17,6.2,1,0.7
28,Fengyuan,2024-05-31 03:00,19,Good,2,14,19.6,0.14,3.6,0.9,0.7
27,Sanyi,2024-05-31 03:00,24,Good,4,12,20.1,0.12,1.5,0.9,0.7
26,Miaoli,2024-05-31 03:00,44,Good,10,20,0.2,0.21,11,4.5,0.7
25,Toufen,2024-05-31 03:00,36,Good,9,26,6.7,0.2,4.5,1.2,0.9
24,Hsinchu,2024-05-31 03:00,35,Good,9,25,17.4,0.27,9.4,0.9,0.5
23,Zhudong,2024-05-31 03:00,54,Moderate,16,22,8.1,0.24,4.6,0.7,0.8
22,Hukou,2024-05-31 03:00,51,Moderate,17,26,17.4,0.27,10.6,2.1,0.4
21,Longtan,2024-05-31 03:00,59,Moderate,18,27,4.8,0.32,15.8,4.3,0.2
20,Pingzhen,2024-05-31 03:00,44,Good,15,34,4,0.41,23.7,1.3,1.1
19,Guanyin,2024-05-31 03:00,35,Good,19,25,19.3,0.22,8.6,1.5,0.4
18,Dayuan,2024-05-31 03:00,49,Good,16,32,17.8,0.3,9.8,0.1,1.4
17,Taoyuan,2024-05-31 03:00,49,Good,22,31,8,0.44,20,1.1,2
16,Datong,2024-05-31 03:00,38,Good,12,18,4.8,0.57,13.3,8.6,1
15,Songshan,2024-05-31 03:00,44,Good,13,18,5.7,0.34,13.6,2,0
14,Guting,2024-05-31 03:00,25,Good,7,15,7.7,0.19,3.6,1,2.4
13,Wanhua,2024-05-31 03:00,31,Good,6,21,7.5,0.28,8.8,1.6,0.1
12,Zhongshan,2024-05-31 03:00,31,Good,7,18,7.3,0.3,10,1,0.3
11,Shilin,2024-05-31 03:00,39,Good,11,21,9,0.32,11.1,0.4,0.8
10,Tamsui,2024-05-31 03:00,36,Good,12,22,7.1,0.34,14.7,1,1.6
9,Linkou,2024-05-31 03:00,33,Good,14,21,14.3,0.37,19.9,7.6,1.4
8,Cailiao,2024-05-31 03:00,37,Good,11,24,2.5,0.5,19.1,1.8,0.8
7,Xinzhuang,2024-05-31 03:00,53,Moderate,20,19,7.8,0.41,16.2,0.4,0.8
6,Banqiao,2024-05-31 03:00,40,Good,10,27,4.6,0.43,18.4,0.9,0.7
5,Tucheng,2024-05-31 03:00,55,Moderate,12,30,3.8,0.38,14.7,1.8,0.1
4,Xindian,2024-05-31 03:00,37,Good,14,18,9.2,0.19,2.7,1.1,1.1
3,Wanli,2024-05-31 03:00,24,Good,7,20,4.3,0.3,6.7,0.8,0.3
2,Xizhi,2024-05-31 03:00,43,Good,16,21,1.6,0.43,15.5,9,0.8
1,Keelung,2024-05-31 03:00,23,Good,11,22,2.1,0.37,11.3,2,0.5
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,0,10,26.2,0.09,1.4,0,0
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,6,18,9.7,,10.6,0.8,0.1
