siteid,sitename,datacreationdate,aqi,status,o3,co,pm10,no,so2
313,Pingtung（fangshan）,2024-05-30 20:00,32,Good,30.6,0.11,17,0.1,0.1
312,Taichung（Rilana Elementary）,2024-05-30 20:00,45,Good,38.1,0.04,34,0.2,0.3
311,New Taipei(Shulin),2024-05-30 20:00,54,Moderate,8.4,0.55,31,3.8,1.8
204,Pingtung（Liuqiu）,2024-05-30 20:00,28,Good,29.6,0.08,14,1.3,0.6
203,Tainan（Madou）,2024-05-30 20:00,29,Good,20.1,0.2,21,1.3,0.3
202,Kaohsiung（Hunei）,2024-05-30 20:00,21,Good,15.1,0.27,15,2,0.6
201,Changhua（Yuanlin）,2024-05-30 20:00,42,Good,27.7,0.36,30,1.1,1.9
85,Dacheng,2024-05-30 20:00,46,Good,27.7,0.1,13,0.6,0.7
84,FugueiCape,2024-05-30 20:00,41,Good,31.1,0.15,27,0.2,0.3
83,Mailiao,2024-05-30 20:00,41,Good,23.2,0.2,16,0.4,1
80,Guanshan,2024-05-30 20:00,26,Good,23.4,0.11,16,0.4,0.5
78,Magong,2024-05-30 20:00,37,Good,32.4,0.17,8,1.1,0.9
77,Kinmen,2024-05-30 20:00,80,Moderate,33,0.37,29,0.5,1.5
75,Matsu,2024-05-30 20:00,46,Good,39.9,0.2,24,0.6,0.6
72,Puli,2024-05-30 20:00,43,Good,22.5,0.38,19,1.6,1
71,Fuxing,2024-05-30 20:00,21,Good,21.6,0.31,16,1.9,4.2
70,Yonghe,2024-05-30 20:00,45,Good,8.8,1.13,21,11.2,1.1
69,Zhushan,2024-05-30 20:00,40,Good,17.6,0.25,25,0.7,1
68,Zhongli,2024-05-30 20:00,52,Moderate,10.9,0.97,36,19.8,2.4
67,Sanchong,2024-05-30 20:00,62,Moderate,3.8,1.75,17,83.5,1.4
66,Dongshan,2024-05-30 20:00,36,Good,30.7,0.21,24,0.7,0.4
65,Yilan,2024-05-30 20:00,41,Good,35.3,0.24,6,0.3,0.9
64,Yangming,2024-05-30 20:00,25,Good,14.9,0.17,16,0.6,0.7
