siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5
313,Pingtung（fangshan）,2024-05-31 05:00,21,Good,15.7,2.1,0
312,Taichung（Rilana Elementary）,2024-05-31 05:00,19,Good,7.5,10.5,3
311,New Taipei(Shulin),2024-05-31 05:00,53,Moderate,6,5.5,17
204,Pingtung（Liuqiu）,2024-05-31 05:00,23,Good,21.6,0.6,6
203,Tainan（Madou）,2024-05-31 05:00,17,Good,17.6,2.6,2
202,Kaohsiung（Hunei）,2024-05-31 05:00,17,Good,14.6,4.2,6
201,Changhua（Yuanlin）,2024-05-31 05:00,36,Good,10.9,5.8,12
85,Dacheng,2024-05-31 05:00,15,Good,19.3,1.7,2
84,FugueiCape,2024-05-31 05:00,32,Good,20.2,5.2,9
83,Mailiao,2024-05-31 05:00,17,Good,22,2.1,3
80,Guanshan,2024-05-31 05:00,24,Good,2.3,2.4,8
78,Magong,2024-05-31 05:00,25,Good,24.5,4.3,1
77,Kinmen,2024-05-31 05:00,84,Moderate,1.6,28.1,33
75,Matsu,2024-05-31 05:00,43,Good,29.9,5.8,19
72,Puli,2024-05-31 05:00,27,Good,5.1,2.3,6
71,Fuxing,2024-05-31 05:00,18,Good,15.4,5.2,2
70,Yonghe,2024-05-31 05:00,41,Good,6,5.3,15
69,Zhushan,2024-05-31 05:00,27,Good,2.8,4.1,10
68,Zhongli,2024-05-31 05:00,56,Moderate,5.3,15.3,17
67,Sanchong,2024-05-31 05:00,36,Good,4.6,9.9,9
66,Dongshan,2024-05-31 05:00,24,Good,2.5,6.2,8
65,Yilan,2024-05-31 05:00,16,Good,7.7,3.1,1
64,Yangming,2024-05-31 05:00,28,Good,27.4,1.4,4
63,Hualien,2024-05-31 05:00,19,Good,4.2,2.9,4
62,Taitung,2024-05-31 05:00,18,Good,7.3,1.8,5
61,Hengchun,2024-05-31 05:00,25,Good,26,0.5,6
60,Chaozhou,2024-05-31 05:00,17,Good,16.1,1.3,0
59,Pingtung,2024-05-31 05:00,18,Good,12.7,4.2,1
58,Xiaogang,2024-05-31 05:00,23,Good,10.5,10.5,7
