siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2,co,pm10
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,26.2,1.4,0,0,0,0.09,10
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,9.7,10.6,6,0.8,0.1,,18
311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,3.4,11.3,19,4.4,0.4,0.33,24
204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,26.1,0.6,8,1.3,0.4,0.07,5
203,Tainan（Madou）,2024-05-31 02:00,18,Good,22.4,3.8,6,0.2,0.4,0.1,10
202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,16.3,6.4,6,1,,0.24,6
201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,15.3,6.8,10,1,1.7,0.2,17
85,Dacheng,2024-05-31 02:00,18,Good,15,5.6,5,0.3,1.3,0.1,10
84,FugueiCape,2024-05-31 02:00,28,Good,21.2,9.5,7,0.2,0.6,0.21,27
83,Mailiao,2024-05-31 02:00,22,Good,18,5.6,7,0.4,1.3,0.13,16
80,Guanshan,2024-05-31 02:00,21,Good,4.4,1.7,3,1.9,0.1,0.1,30
78,Magong,2024-05-31 02:00,27,Good,30.7,2.1,1,0.5,0.5,0.09,3
77,Kinmen,2024-05-31 02:00,78,Moderate,4.9,25.7,26,1.6,1.2,0.36,30
75,Matsu,2024-05-31 02:00,38,Good,25.7,15.6,9,1.1,1.5,0.18,7
72,Puli,2024-05-31 02:00,33,Good,7.1,3.1,8,1.6,0.9,0.18,24
71,Fuxing,2024-05-31 02:00,18,Good,21.3,5.6,3,0.8,3.7,0.12,7
70,Yonghe,2024-05-31 02:00,59,Moderate,7.6,5.4,12,1.3,0.7,0.24,12
69,Zhushan,2024-05-31 02:00,24,Good,3.6,5.7,3,1,0.7,0.11,25
68,Zhongli,2024-05-31 02:00,51,Moderate,8.8,26.1,19,4,2.2,0.62,30
67,Sanchong,2024-05-31 02:00,39,Good,2.5,17,11,4.8,0.7,0.52,18
66,Dongshan,2024-05-31 02:00,24,Good,6.9,4,7,0.8,0.3,0.3,20
65,Yilan,2024-05-31 02:00,19,Good,8.8,2.8,6,0.5,1.6,0.15,19
64,Yangming,2024-05-31 02:00,25,Good,29.9,3.2,8,0.8,0.7,0.17,14
63,Hualien,2024-05-31 02:00,22,Good,17,1.1,6,0.8,0.3,0.16,6
62,Taitung,2024-05-31 02:00,17,Good,8.5,4.4,1,1.6,0.6,0.1,22
61,Hengchun,2024-05-31 02:00,25,Good,24.7,1,3,0.3,0.1,0.07,18
60,Chaozhou,2024-05-31 02:00,18,Good,16.4,1.4,0,1.8,0.5,0.07,12
59,Pingtung,2024-05-31 02:00,21,Good,22.4,3.1,1,0.5,0.5,0.1,5
58,Xiaogang,2024-05-31 02:00,33,Good,20.5,6.2,4,0.6,1,0.1,7
57,Qianzhen,2024-05-31 02:00,16,Good,20,6.9,0,0.8,4.8,0.11,8
56,Qianjin,2024-05-31 02:00,18,Good,19.5,6.3,2,0.4,1.8,0.14,9
54,Zuoying,2024-05-31 02:00,29,Good,18,7.1,6,0.5,1.7,0.15,6
53,Nanzi,2024-05-31 02:00,22,Good,14.4,13.4,3,0.9,4.4,0.12,5
52,Linyuan,2024-05-31 02:00,27,Good,22.3,1.8,5,0,0.8,0.1,11
51,Daliao,2024-05-31 02:00,23,Good,19.9,2.4,5,0.2,0.4,0.09,7
50,Fengshan,2024-05-31 02:00,21,Good,23.9,1.7,0,0.1,0.5,0.1,5
49,Renwu,2024-05-31 02:00,24,Good,23.4,3.5,4,0,1.8,0.1,3
48,Qiaotou,2024-05-31 02:00,18,Good,18.2,6.6,3,0.9,1.6,0.11,6
47,Meinong,2024-05-31 02:00,18,Good,23.1,1.5,0,0.5,0,0.1,14
46,Tainan,2024-05-31 02:00,28,Good,18.8,7.6,9,0.7,1.4,0.2,15
45,Annan,2024-05-31 02:00,25,Good,18.9,8,6,0.7,1.1,0.21,16
44,Shanhua,2024-05-31 02:00,26,Good,22.3,1.5,6,0.5,0.3,0.07,10
43,Xinying,2024-05-31 02:00,20,Good,18.7,3.4,3,1.2,0.8,0.12,11
42,Chiayi,2024-05-31 02:00,20,Good,20.4,2.2,3,0.7,1.1,0.09,13
41,Taixi,2024-05-31 02:00,21,Good,20.6,4.1,3,0.3,1,0.13,17
40,Puzi,2024-05-31 02:00,19,Good,16.8,5.5,,1.3,1.4,0.12,21
39,Xingang,2024-05-31 02:00,25,Good,22.1,2.4,5,1.3,1,0.11,15
38,Lunbei,2024-05-31 02:00,22,Good,15,3.1,4,0.1,0.4,0.13,15
37,Douliu,2024-05-31 02:00,23,Good,6,11.3,5,1.7,1.1,0.18,29
36,Nantou,2024-05-31 02:00,27,Good,3.2,7,5,0.1,0.1,0.16,32
35,Erlin,2024-05-31 02:00,45,Good,4.5,10.8,15,0.6,1.5,0.18,26
34,Xianxi,2024-05-31 02:00,32,Good,6.6,9,11,1.7,0.2,0.23,21
33,Changhua,2024-05-31 02:00,27,Good,20.3,5,3,0.4,0.6,0.12,17
32,Xitun,2024-05-31 02:00,31,Good,8.7,8.1,6,1.3,0.7,0.18,21
31,Zhongming,2024-05-31 02:00,26,Good,11.4,5.2,7,0.6,1.4,0.22,19
30,Dali,2024-05-31 02:00,36,Good,10.1,5,7,0,1.1,0.18,18
29,Shalu,2024-05-31 02:00,28,Good,15.6,9.3,5,1,0.9,0.18,15
28,Fengyuan,2024-05-31 02:00,22,Good,19.3,4.2,3,0.6,0.9,0.15,15
27,Sanyi,2024-05-31 02:00,26,Good,18,2.9,6,0.7,0.6,0.15,15
26,Miaoli,2024-05-31 02:00,46,Good,5.2,10.8,16,1.8,0.9,0.23,19
25,Toufen,2024-05-31 02:00,38,Good,9.4,5.9,11,1.1,0.6,0.22,23
24,Hsinchu,2024-05-31 02:00,34,Good,18.9,12.7,11,0.9,0.6,0.28,22
23,Zhudong,2024-05-31 02:00,54,Moderate,8.3,4.5,16,0.8,0.7,0.24,29
22,Hukou,2024-05-31 02:00,49,Good,12,16.8,14,3.1,0.2,0.3,24
21,Longtan,2024-05-31 02:00,59,Moderate,0.1,22.4,20,9.1,0.3,0.41,33
20,Pingzhen,2024-05-31 02:00,41,Good,15.5,20.6,16,0.3,1,0.37,38
19,Guanyin,2024-05-31 02:00,31,Good,18.4,7.6,11,1.9,0.8,0.22,26
18,Dayuan,2024-05-31 02:00,46,Good,16.2,10.1,21,0,1.2,0.3,27
17,Taoyuan,2024-05-31 02:00,45,Good,14.4,18.2,18,0.6,2.2,0.4,22
16,Datong,2024-05-31 02:00,40,Good,2.3,18.1,14,12,1,0.67,29
15,Songshan,2024-05-31 02:00,46,Good,9.7,12,15,0.9,0.3,0.33,18
14,Guting,2024-05-31 02:00,25,Good,8.6,4.8,5,1.1,,0.22,13
13,Wanhua,2024-05-31 02:00,35,Good,6.6,12.8,9,2.6,0.2,0.34,21
12,Zhongshan,2024-05-31 02:00,34,Good,6.6,11,11,0.9,0.4,0.34,19
11,Shilin,2024-05-31 02:00,39,Good,8.9,14.5,15,0.4,1,0.33,22
10,Tamsui,2024-05-31 02:00,36,Good,8.7,15.8,11,0.7,1.4,0.34,27
9,Linkou,2024-05-31 02:00,31,Good,14.3,,12,,2,0.33,26
8,Cailiao,2024-05-31 02:00,36,Good,2.1,17.9,12,1.4,1,0.52,15
7,Xinzhuang,2024-05-31 02:00,50,Good,8.8,17.1,15,0.9,1.2,0.45,24
6,Banqiao,2024-05-31 02:00,42,Good,2.8,20.9,14,1.5,0.6,0.5,26
5,Tucheng,2024-05-31 02:00,57,Moderate,1.9,18.6,16,4,0.3,0.46,23
4,Xindian,2024-05-31 02:00,35,Good,9.9,3.9,9,1.3,1.1,0.21,21
3,Wanli,2024-05-31 02:00,26,Good,6.3,10.9,6,0.8,0.4,0.34,21
2,Xizhi,2024-05-31 02:00,43,Good,0.6,16,11,13.2,1.2,0.49,19
1,Keelung,2024-05-31 02:00,22,Good,1.8,13.6,4,2.2,0.6,0.39,21
313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,29.2,1.8,2,0,0,0.08,13
312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,19.7,8.8,6,2.1,0.3,0.03,12
311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,8.8,7.9,12,0.6,0.8,0.28,27
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,24.2,0.9,5,1.2,0.6,0.06,7
203,Tainan（Madou）,2024-05-31 01:00,19,Good,18.2,4.6,4,0.9,0.5,0.13,17
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,15.6,8.3,4,1.1,1.1,0.17,10
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,14.4,7.9,12,0.5,1.6,0.22,20
85,Dacheng,2024-05-31 01:00,20,Good,12.3,6,5,0.1,0.9,0.13,15
84,FugueiCape,2024-05-31 01:00,30,Good,28.8,5.4,5,0.1,0.5,0.16,23
83,Mailiao,2024-05-31 01:00,22,Good,17,6.1,5,0.3,1.5,0.16,15
80,Guanshan,2024-05-31 01:00,18,Good,6,1.7,2,0.2,0.4,0.11,35
