siteid,sitename,datacreationdate,aqi,status,pm2.5,co
313,Pingtung（fangshan）,2024-05-31 09:00,19,Good,4,0.07
312,Taichung（Rilana Elementary）,2024-05-31 09:00,15,Good,0,0.01
311,New Taipei(Shulin),2024-05-31 09:00,53,Moderate,18,0.36
204,Pingtung（Liuqiu）,2024-05-31 09:00,19,Good,7,0.1
203,Tainan（Madou）,2024-05-31 09:00,17,Good,8,0.15
202,Kaohsiung（Hunei）,2024-05-31 09:00,13,Good,7,0.21
201,Changhua（Yuanlin）,2024-05-31 09:00,23,Good,6,0.23
85,Dacheng,2024-05-31 09:00,19,Good,0,0.05
84,FugueiCape,2024-05-31 09:00,40,Good,18,0.31
83,Mailiao,2024-05-31 09:00,19,Good,1,0.15
80,Guanshan,2024-05-31 09:00,24,Good,4,0.11
78,Magong,2024-05-31 09:00,22,Good,8,0.19
77,Kinmen,2024-05-31 09:00,85,Moderate,32,0.47
75,Matsu,2024-05-31 09:00,52,Moderate,17,0.33
72,Puli,2024-05-31 09:00,26,Good,8,0.28
71,Fuxing,2024-05-31 09:00,17,Good,4,0.36
70,Yonghe,2024-05-31 09:00,42,Good,13,2.17
69,Zhushan,2024-05-31 09:00,32,Good,12,0.58
68,Zhongli,2024-05-31 09:00,47,Good,9,1.31
67,Sanchong,2024-05-31 09:00,51,Moderate,10,1.12
66,Dongshan,2024-05-31 09:00,25,Good,8,0.42
65,Yilan,2024-05-31 09:00,17,Good,2,0.22
64,Yangming,2024-05-31 09:00,26,Good,3,0.15
63,Hualien,2024-05-31 09:00,19,Good,6,0.32
62,Taitung,2024-05-31 09:00,23,Good,2,0.28
61,Hengchun,2024-05-31 09:00,24,Good,4,0.07
60,Chaozhou,2024-05-31 09:00,19,Good,2,0.07
59,Pingtung,2024-05-31 09:00,22,Good,4,0.35
58,Xiaogang,2024-05-31 09:00,52,Moderate,11,0.63
57,Qianzhen,2024-05-31 09:00,23,Good,6,0.44
56,Qianjin,2024-05-31 09:00,18,Good,5,0.21
54,Zuoying,2024-05-31 09:00,26,Good,8,0.44
53,Nanzi,2024-05-31 09:00,23,Good,10,0.31
52,Linyuan,2024-05-31 09:00,29,Good,4,0.11
51,Daliao,2024-05-31 09:00,16,Good,4,0.13
50,Fengshan,2024-05-31 09:00,15,Good,4,0.44
49,Renwu,2024-05-31 09:00,19,Good,4,0.3
48,Qiaotou,2024-05-31 09:00,17,Good,5,0.24
47,Meinong,2024-05-31 09:00,17,Good,1,0.14
46,Tainan,2024-05-31 09:00,18,Good,9,0.23
45,Annan,2024-05-31 09:00,18,Good,5,0.26
44,Shanhua,2024-05-31 09:00,18,Good,5,0.1
43,Xinying,2024-05-31 09:00,19,Good,0,0.18
42,Chiayi,2024-05-31 09:00,20,Good,2,0.18
41,Taixi,2024-05-31 09:00,19,Good,1,0.13
40,Puzi,2024-05-31 09:00,17,Good,,0.16
39,Xingang,2024-05-31 09:00,19,Good,4,0.12
38,Lunbei,2024-05-31 09:00,17,Good,2,0.11
37,Douliu,2024-05-31 09:00,21,Good,5,0.17
36,Nantou,2024-05-31 09:00,30,Good,8,0.22
35,Erlin,2024-05-31 09:00,32,Good,6,0.11
34,Xianxi,2024-05-31 09:00,23,Good,4,0.15
33,Changhua,2024-05-31 09:00,15,Good,2,0.12
32,Xitun,2024-05-31 09:00,25,Good,6,0.23
31,Zhongming,2024-05-31 09:00,20,Good,3,0.32
30,Dali,2024-05-31 09:00,21,Good,6,0.28
29,Shalu,2024-05-31 09:00,17,Good,5,0.17
28,Fengyuan,2024-05-31 09:00,18,Good,2,0.16
27,Sanyi,2024-05-31 09:00,19,Good,2,0.12
26,Miaoli,2024-05-31 09:00,29,Good,2,0.11
25,Toufen,2024-05-31 09:00,28,Good,4,0.17
24,Hsinchu,2024-05-31 09:00,31,Good,5,0.31
23,Zhudong,2024-05-31 09:00,36,Good,8,0.17
22,Hukou,2024-05-31 09:00,50,Good,16,0.21
21,Longtan,2024-05-31 09:00,38,Good,6,0.22
20,Pingzhen,2024-05-31 09:00,41,Good,8,0.18
19,Guanyin,2024-05-31 09:00,47,Good,15,0.2
18,Dayuan,2024-05-31 09:00,40,Good,7,0.22
17,Taoyuan,2024-05-31 09:00,53,Moderate,12,0.35
16,Datong,2024-05-31 09:00,48,Good,17,2.03
15,Songshan,2024-05-31 09:00,44,Good,12,0.42
14,Guting,2024-05-31 09:00,31,Good,10,0.35
13,Wanhua,2024-05-31 09:00,36,Good,12,0.53
12,Zhongshan,2024-05-31 09:00,30,Good,11,0.62
11,Shilin,2024-05-31 09:00,41,Good,12,0.36
10,Tamsui,2024-05-31 09:00,42,Good,13,0.43
9,Linkou,2024-05-31 09:00,38,Good,6,0.32
8,Cailiao,2024-05-31 09:00,32,Good,11,0.55
7,Xinzhuang,2024-05-31 09:00,65,Moderate,23,0.68
6,Banqiao,2024-05-31 09:00,49,Good,18,0.74
5,Tucheng,2024-05-31 09:00,64,Moderate,23,0.5
4,Xindian,2024-05-31 09:00,39,Good,13,0.35
3,Wanli,2024-05-31 09:00,26,Good,16,0.4
2,Xizhi,2024-05-31 09:00,44,Good,15,0.42
1,Keelung,2024-05-31 09:00,31,Good,9,0.38
313,Pingtung（fangshan）,2024-05-31 08:00,19,Good,0,0.1
312,Taichung（Rilana Elementary）,2024-05-31 08:00,16,Good,2,0.01
311,New Taipei(Shulin),2024-05-31 08:00,53,Moderate,11,0.49
204,Pingtung（Liuqiu）,2024-05-31 08:00,19,Good,6,0.09
