siteid,sitename,datacreationdate,aqi,status,no2,so2,o3,pm10,no
313,Pingtung（fangshan）,2024-05-31 12:00,34,Good,0.5,0.1,32.5,49,0.1
312,Taichung（Rilana Elementary）,2024-05-31 12:00,19,Good,6.1,0.7,35.7,18,1.9
311,New Taipei(Shulin),2024-05-31 12:00,45,Good,14.5,1.3,27,18,1
204,Pingtung（Liuqiu）,2024-05-31 12:00,23,Good,1,0.4,26.8,19,1.4
203,Tainan（Madou）,2024-05-31 12:00,23,Good,3.7,0,31.3,19,1.4
202,Kaohsiung（Hunei）,2024-05-31 12:00,17,Good,1.9,0.6,25.5,13,2.3
201,Changhua（Yuanlin）,2024-05-31 12:00,23,Good,5.1,1.9,31.5,24,3
85,Dacheng,2024-05-31 12:00,23,Good,2.7,1.4,30.8,11,0.6
84,FugueiCape,2024-05-31 12:00,53,Moderate,5.7,0.6,78.2,40,0.4
83,Mailiao,2024-05-31 12:00,22,Good,4.3,1,28.7,16,2.2
80,Guanshan,2024-05-31 12:00,18,Good,1,0.3,24,14,1.2
78,Magong,2024-05-31 12:00,23,Good,4.8,0.6,34,6,1.5
77,Kinmen,2024-05-31 12:00,89,Moderate,7.1,0.6,57.5,37,1.1
75,Matsu,2024-05-31 12:00,56,Moderate,3.9,1.1,62.5,24,1.3
72,Puli,2024-05-31 12:00,20,Good,0.7,0.9,32.7,8,1.7
71,Fuxing,2024-05-31 12:00,16,Good,5.9,0.5,28.4,10,2.7
70,Yonghe,2024-05-31 12:00,54,Moderate,35.2,1.3,46.7,37,7.9
69,Zhushan,2024-05-31 12:00,27,Good,3.2,1.2,35.4,19,1.2
68,Zhongli,2024-05-31 12:00,39,Good,19.1,2.2,34.5,22,22.8
67,Sanchong,2024-05-31 12:00,56,Moderate,38.5,1.5,40.6,42,18.4
66,Dongshan,2024-05-31 12:00,24,Good,7.1,1,52.1,22,2.7
65,Yilan,2024-05-31 12:00,23,Good,5.5,5,46.4,20,1
64,Yangming,2024-05-31 12:00,31,Good,4,1,46.9,15,0.9
63,Hualien,2024-05-31 12:00,15,Good,3,0,32.1,,1.7
62,Taitung,2024-05-31 12:00,21,Good,3.3,0.2,23,21,2.2
61,Hengchun,2024-05-31 12:00,23,Good,0.1,0.6,25.7,22,0.6
60,Chaozhou,2024-05-31 12:00,19,Good,0.9,0.8,29.6,12,1.9
59,Pingtung,2024-05-31 12:00,18,Good,3.3,0.9,37.6,17,1
58,Xiaogang,2024-05-31 12:00,36,Good,,,21.5,20,
57,Qianzhen,2024-05-31 12:00,16,Good,6.3,1.9,28.1,13,3.2
56,Qianjin,2024-05-31 12:00,18,Good,5.4,1,30.2,15,2.3
54,Zuoying,2024-05-31 12:00,27,Good,5,0.8,31.9,10,2
53,Nanzi,2024-05-31 12:00,24,Good,8.5,0.4,36.5,18,1.9
52,Linyuan,2024-05-31 12:00,22,Good,1.2,1.5,30.1,22,0
51,Daliao,2024-05-31 12:00,16,Good,3.8,0.4,32.5,10,1.3
50,Fengshan,2024-05-31 12:00,19,Good,8.3,2.2,24.2,,3.9
49,Renwu,2024-05-31 12:00,22,Good,6,1,40.4,8,1
48,Qiaotou,2024-05-31 12:00,18,Good,6.1,0.3,33.1,7,2.6
47,Meinong,2024-05-31 12:00,19,Good,1.4,0.5,40.1,13,1
46,Tainan,2024-05-31 12:00,23,Good,4.9,1.2,32.5,18,2
45,Annan,2024-05-31 12:00,21,Good,4.8,0.8,33,11,1.8
44,Shanhua,2024-05-31 12:00,21,Good,2.7,0.5,35,11,1.7
43,Xinying,2024-05-31 12:00,23,Good,6.7,1.1,37.5,16,2.3
42,Chiayi,2024-05-31 12:00,23,Good,2.8,1.1,35.9,8,1.2
41,Taixi,2024-05-31 12:00,23,Good,2.9,1.2,28.9,9,1
40,Puzi,2024-05-31 12:00,20,Good,5.7,0.9,29.2,11,2.7
39,Xingang,2024-05-31 12:00,25,Good,4.9,0.9,39.1,14,1.2
38,Lunbei,2024-05-31 12:00,20,Good,1.8,0.3,27.9,8,0.2
37,Douliu,2024-05-31 12:00,19,Good,4.6,1,31.9,22,1.7
36,Nantou,2024-05-31 12:00,24,Good,3.9,0.7,36.8,20,1.1
35,Erlin,2024-05-31 12:00,27,Good,1.8,0.9,30.3,9,0.6
34,Xianxi,2024-05-31 12:00,20,Good,3.6,0.8,33.4,18,2.6
33,Changhua,2024-05-31 12:00,21,Good,3.2,0.3,33.6,16,1.4
32,Xitun,2024-05-31 12:00,21,Good,,,,20,
31,Zhongming,2024-05-31 12:00,19,Good,5.4,1.6,29.6,17,2.1
30,Dali,2024-05-31 12:00,19,Good,5.9,1.2,33.6,21,0.4
29,Shalu,2024-05-31 12:00,24,Good,3.8,1,36.5,15,1.6
28,Fengyuan,2024-05-31 12:00,26,Good,5.2,,43.8,21,1.6
27,Sanyi,2024-05-31 12:00,27,Good,3.3,1.3,45.3,21,1.5
26,Miaoli,2024-05-31 12:00,23,Good,4,1.2,54.2,11,1.1
