siteid,sitename,datacreationdate,aqi,status,pm2.5
313,Pingtung（fangshan）,2024-05-31 05:00,21,Good,0
312,Taichung（Rilana Elementary）,2024-05-31 05:00,19,Good,3
311,New Taipei(Shulin),2024-05-31 05:00,53,Moderate,17
204,Pingtung（Liuqiu）,2024-05-31 05:00,23,Good,6
203,Tainan（Madou）,2024-05-31 05:00,17,Good,2
202,Kaohsiung（Hunei）,2024-05-31 05:00,17,Good,6
201,Changhua（Yuanlin）,2024-05-31 05:00,36,Good,12
85,Dacheng,2024-05-31 05:00,15,Good,2
84,FugueiCape,2024-05-31 05:00,32,Good,9
83,Mailiao,2024-05-31 05:00,17,Good,3
80,Guanshan,2024-05-31 05:00,24,Good,8
78,Magong,2024-05-31 05:00,25,Good,1
77,Kinmen,2024-05-31 05:00,84,Moderate,33
75,Matsu,2024-05-31 05:00,43,Good,19
72,Puli,2024-05-31 05:00,27,Good,6
71,Fuxing,2024-05-31 05:00,18,Good,2
70,Yonghe,2024-05-31 05:00,41,Good,15
69,Zhushan,2024-05-31 05:00,27,Good,10
68,Zhongli,2024-05-31 05:00,56,Moderate,17
67,Sanchong,2024-05-31 05:00,36,Good,9
66,Dongshan,2024-05-31 05:00,24,Good,8
65,Yilan,2024-05-31 05:00,16,Good,1
64,Yangming,2024-05-31 05:00,28,Good,4
63,Hualien,2024-05-31 05:00,19,Good,4
62,Taitung,2024-05-31 05:00,18,Good,5
61,Hengchun,2024-05-31 05:00,25,Good,6
60,Chaozhou,2024-05-31 05:00,17,Good,0
59,Pingtung,2024-05-31 05:00,18,Good,1
58,Xiaogang,2024-05-31 05:00,23,Good,7
57,Qianzhen,2024-05-31 05:00,17,Good,3
56,Qianjin,2024-05-31 05:00,17,Good,1
54,Zuoying,2024-05-31 05:00,20,Good,5
53,Nanzi,2024-05-31 05:00,20,Good,3
52,Linyuan,2024-05-31 05:00,21,Good,3
51,Daliao,2024-05-31 05:00,18,Good,6
50,Fengshan,2024-05-31 05:00,19,Good,1
49,Renwu,2024-05-31 05:00,21,Good,3
48,Qiaotou,2024-05-31 05:00,17,Good,0
47,Meinong,2024-05-31 05:00,16,Good,0
46,Tainan,2024-05-31 05:00,26,Good,9
45,Annan,2024-05-31 05:00,24,Good,7
