siteid,sitename,datacreationdate,aqi,status,pm2.5,no,no2,o3,co,pm10,so2
313,Pingtung（fangshan）,2024-05-31 11:00,29,Good,8,0,0.5,33.5,0.08,57,0.2
312,Taichung（Rilana Elementary）,2024-05-31 11:00,17,Good,1,1.9,5.2,40.7,0.01,11,0.2
311,New Taipei(Shulin),2024-05-31 11:00,46,Good,9,2.2,13.6,28.4,0.26,23,1.1
204,Pingtung（Liuqiu）,2024-05-31 11:00,21,Good,9,1.3,1,26,0.08,16,0.5
203,Tainan（Madou）,2024-05-31 11:00,23,Good,13,2.4,6.6,28.7,0.17,24,0
202,Kaohsiung（Hunei）,2024-05-31 11:00,18,Good,5,2.5,2.2,24.3,0.11,11,0.8
201,Changhua（Yuanlin）,2024-05-31 11:00,22,Good,6,3.1,4.8,31.8,0.23,16,1.8
85,Dacheng,2024-05-31 11:00,22,Good,3,1.1,2.1,35.5,0.08,23,1.3
84,FugueiCape,2024-05-31 11:00,50,Good,20,1.6,8.7,58.4,0.29,48,0.7
83,Mailiao,2024-05-31 11:00,21,Good,3,1.3,4.1,31.1,0.15,15,1.2
80,Guanshan,2024-05-31 11:00,20,Good,3,1.4,1.1,22,0.09,10,0.5
78,Magong,2024-05-31 11:00,22,Good,1,1.9,5.5,31.4,0.16,9,0.6
77,Kinmen,2024-05-31 11:00,85,Moderate,32,2,8.7,39,0.38,30,0.6
75,Matsu,2024-05-31 11:00,54,Moderate,20,1,3,53.4,0.4,21,0.7
72,Puli,2024-05-31 11:00,22,Good,4,1.6,0.6,29,0.13,10,0.9
71,Fuxing,2024-05-31 11:00,15,Good,6,3.6,9.1,25.1,0.2,14,0.8
70,Yonghe,2024-05-31 11:00,47,Good,19,5.6,28.8,50.1,1,24,1.2
69,Zhushan,2024-05-31 11:00,27,Good,7,1.2,2.9,39.4,0.09,13,1.2
68,Zhongli,2024-05-31 11:00,39,Good,8,23.3,17.6,28.1,0.5,22,2
67,Sanchong,2024-05-31 11:00,60,Moderate,20,19.2,43.2,37.5,0.67,41,1.1
66,Dongshan,2024-05-31 11:00,24,Good,7,4.1,10.3,38.3,0.41,28,1.2
65,Yilan,2024-05-31 11:00,19,Good,11,1,4.6,50.3,0.3,16,3.3
64,Yangming,2024-05-31 11:00,30,Good,12,0.9,5.5,48.3,0.24,22,1.1
63,Hualien,2024-05-31 11:00,16,Good,1,2.8,5.3,30.3,0.28,6,0.3
62,Taitung,2024-05-31 11:00,22,Good,5,2.5,3,23.4,0.17,22,0.3
61,Hengchun,2024-05-31 11:00,24,Good,7,0.3,0.1,25.7,0.06,16,0.5
60,Chaozhou,2024-05-31 11:00,19,Good,3,2,0.7,29.3,0.07,14,0.8
59,Pingtung,2024-05-31 11:00,19,Good,2,1.4,3.7,29.5,0.18,16,0.7
58,Xiaogang,2024-05-31 11:00,37,Good,8,3.8,8.6,23.5,0.2,12,2.2
57,Qianzhen,2024-05-31 11:00,15,Good,3,3.2,8.1,26.3,0.14,11,1.7
56,Qianjin,2024-05-31 11:00,17,Good,3,3.1,6.4,27.4,0.13,12,1.3
54,Zuoying,2024-05-31 11:00,28,Good,9,2.3,5.6,30.5,0.12,11,1.1
53,Nanzi,2024-05-31 11:00,24,Good,8,3,10.2,31.6,0.16,21,0.6
52,Linyuan,2024-05-31 11:00,26,Good,5,0.1,1.5,28.7,0.09,18,1.3
51,Daliao,2024-05-31 11:00,16,Good,4,1,3,31.7,0.14,10,0.4
