siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2
313,Pingtung（fangshan）,2024-05-31 10:00,22,Good,,0.3,6,0,0.1
312,Taichung（Rilana Elementary）,2024-05-31 10:00,13,Good,35.2,4.8,0,1.8,0
311,New Taipei(Shulin),2024-05-31 10:00,50,Good,27.4,10.1,15,1.4,0.8
204,Pingtung（Liuqiu）,2024-05-31 10:00,19,Good,24,1.2,6,1.4,0.3
203,Tainan（Madou）,2024-05-31 10:00,19,Good,26.7,5.7,5,2.3,0.2
202,Kaohsiung（Hunei）,2024-05-31 10:00,16,Good,22.9,6.3,10,3.4,1.3
201,Changhua（Yuanlin）,2024-05-31 10:00,22,Good,30.7,4.4,7,2.6,1.7
85,Dacheng,2024-05-31 10:00,20,Good,30.3,1.7,4,1.3,1.2
84,FugueiCape,2024-05-31 10:00,46,Good,48.8,9.5,19,2.3,0.7
83,Mailiao,2024-05-31 10:00,20,Good,29.7,3.3,0,1.7,1.2
80,Guanshan,2024-05-31 10:00,22,Good,17.2,1.5,5,1.8,0.7
78,Magong,2024-05-31 10:00,22,Good,30.1,6.9,4,2.6,0.8
77,Kinmen,2024-05-31 10:00,84,Moderate,26.2,12.7,25,3.8,0.8
75,Matsu,2024-05-31 10:00,51,Moderate,44.7,,18,,0.8
72,Puli,2024-05-31 10:00,24,Good,26.7,2.3,5,2.6,1
71,Fuxing,2024-05-31 10:00,14,Good,22.2,8,2,3.4,1
70,Yonghe,2024-05-31 10:00,43,Good,32.3,26.5,18,16.9,1.4
69,Zhushan,2024-05-31 10:00,29,Good,29.8,2.9,11,1.8,0.9
68,Zhongli,2024-05-31 10:00,43,Good,16.6,24.7,9,30.3,1.8
67,Sanchong,2024-05-31 10:00,59,Moderate,28.5,42,19,35.4,0.9
66,Dongshan,2024-05-31 10:00,24,Good,37.5,8.3,6,4,1.2
65,Yilan,2024-05-31 10:00,17,Good,39.8,3.8,9,1.2,1.8
64,Yangming,2024-05-31 10:00,27,Good,38.6,3.7,4,1.1,0.9
