siteid,sitename,datacreationdate,aqi,status,level_0,co,index,no,no2,o3,pm10,pm2.5,so2
313,Pingtung（fangshan）,2024-05-31 05:00,21,Good,0.0,0.11,0.0,0.1,2.1,15.7,17.0,0.0,0.1
312,Taichung（Rilana Elementary）,2024-05-31 05:00,19,Good,1.0,0.04,1.0,0.2,10.5,7.5,34.0,3.0,0.3
311,New Taipei(Shulin),2024-05-31 05:00,53,Moderate,2.0,0.55,2.0,3.8,5.5,6.0,31.0,17.0,1.8
204,Pingtung（Liuqiu）,2024-05-31 05:00,23,Good,3.0,0.08,3.0,1.3,0.6,21.6,14.0,6.0,0.6
203,Tainan（Madou）,2024-05-31 05:00,17,Good,4.0,0.2,4.0,1.3,2.6,17.6,21.0,2.0,0.3
202,Kaohsiung（Hunei）,2024-05-31 05:00,17,Good,5.0,0.27,5.0,2.0,4.2,14.6,15.0,6.0,0.6
201,Changhua（Yuanlin）,2024-05-31 05:00,36,Good,6.0,0.36,6.0,1.1,5.8,10.9,30.0,12.0,1.9
85,Dacheng,2024-05-31 05:00,15,Good,7.0,0.1,7.0,0.6,1.7,19.3,13.0,2.0,0.7
84,FugueiCape,2024-05-31 05:00,32,Good,8.0,0.15,8.0,0.2,5.2,20.2,27.0,9.0,0.3
83,Mailiao,2024-05-31 05:00,17,Good,9.0,0.2,9.0,0.4,2.1,22.0,16.0,3.0,1.0
80,Guanshan,2024-05-31 05:00,24,Good,10.0,0.11,10.0,0.4,2.4,2.3,16.0,8.0,0.5
78,Magong,2024-05-31 05:00,25,Good,11.0,0.17,11.0,1.1,4.3,24.5,8.0,1.0,0.9
77,Kinmen,2024-05-31 05:00,84,Moderate,12.0,0.37,12.0,0.5,28.1,1.6,29.0,33.0,1.5
75,Matsu,2024-05-31 05:00,43,Good,13.0,0.2,13.0,0.6,5.8,29.9,24.0,19.0,0.6
72,Puli,2024-05-31 05:00,27,Good,14.0,0.38,14.0,1.6,2.3,5.1,19.0,6.0,1.0
71,Fuxing,2024-05-31 05:00,18,Good,15.0,0.31,15.0,1.9,5.2,15.4,16.0,2.0,4.2
70,Yonghe,2024-05-31 05:00,41,Good,16.0,1.13,16.0,11.2,5.3,6.0,21.0,15.0,1.1
69,Zhushan,2024-05-31 05:00,27,Good,17.0,0.25,17.0,0.7,4.1,2.8,25.0,10.0,1.0
68,Zhongli,2024-05-31 05:00,56,Moderate,18.0,0.97,18.0,19.8,15.3,5.3,36.0,17.0,2.4
67,Sanchong,2024-05-31 05:00,36,Good,19.0,1.75,19.0,83.5,9.9,4.6,17.0,9.0,1.4
66,Dongshan,2024-05-31 05:00,24,Good,20.0,0.21,20.0,0.7,6.2,2.5,24.0,8.0,0.4
65,Yilan,2024-05-31 05:00,16,Good,21.0,0.24,21.0,0.3,3.1,7.7,6.0,1.0,0.9
64,Yangming,2024-05-31 05:00,28,Good,22.0,0.17,22.0,0.6,1.4,27.4,16.0,4.0,0.7
63,Hualien,2024-05-31 05:00,19,Good,23.0,0.28,23.0,0.7,2.9,4.2,8.0,4.0,0.2
62,Taitung,2024-05-31 05:00,18,Good,24.0,0.28,24.0,1.9,1.8,7.3,8.0,5.0,0.1
61,Hengchun,2024-05-31 05:00,25,Good,25.0,0.1,25.0,0.5,0.5,26.0,10.0,6.0,0.7
60,Chaozhou,2024-05-31 05:00,17,Good,26.0,0.11,26.0,0.2,1.3,16.1,23.0,0.0,0.8
59,Pingtung,2024-05-31 05:00,18,Good,27.0,0.28,27.0,0.7,4.2,12.7,14.0,1.0,0.6
58,Xiaogang,2024-05-31 05:00,23,Good,28.0,0.26,28.0,0.7,10.5,10.5,11.0,7.0,2.4
57,Qianzhen,2024-05-31 05:00,17,Good,29.0,0.5,29.0,5.5,6.2,16.0,16.0,3.0,6.1
56,Qianjin,2024-05-31 05:00,17,Good,30.0,0.18,30.0,0.1,5.2,16.5,13.0,1.0,3.2
54,Zuoying,2024-05-31 05:00,20,Good,31.0,0.33,31.0,0.3,4.7,17.8,17.0,5.0,2.4
53,Nanzi,2024-05-31 05:00,20,Good,32.0,0.2,32.0,0.6,12.2,9.6,13.0,3.0,1.0
52,Linyuan,2024-05-31 05:00,21,Good,33.0,0.11,33.0,0.7,2.4,12.7,19.0,3.0,0.8
51,Daliao,2024-05-31 05:00,18,Good,34.0,0.12,34.0,0.3,8.4,7.2,19.0,6.0,0.4
50,Fengshan,2024-05-31 05:00,19,Good,35.0,0.32,35.0,0.8,4.3,13.9,16.0,1.0,2.1
49,Renwu,2024-05-31 05:00,21,Good,36.0,0.21,36.0,0.9,2.9,20.1,6.0,3.0,
48,Qiaotou,2024-05-31 05:00,17,Good,37.0,0.31,37.0,0.1,4.1,16.5,13.0,0.0,1.3
47,Meinong,2024-05-31 05:00,16,Good,38.0,0.15,38.0,1.1,1.0,16.2,15.0,0.0,0.8
46,Tainan,2024-05-31 05:00,26,Good,39.0,0.26,39.0,0.6,4.4,20.1,14.0,9.0,1.0
45,Annan,2024-05-31 05:00,24,Good,40.0,0.29,40.0,2.1,3.4,19.9,12.0,7.0,1.1
44,Shanhua,2024-05-31 05:00,19,Good,41.0,0.09,41.0,1.0,1.5,20.9,13.0,4.0,0.4
43,Xinying,2024-05-31 05:00,19,Good,42.0,0.17,42.0,0.8,2.3,22.5,18.0,0.0,0.0
42,Chiayi,2024-05-31 05:00,18,Good,43.0,0.15,43.0,0.7,0.8,22.3,13.0,0.0,1.3
41,Taixi,2024-05-31 05:00,18,Good,44.0,0.12,44.0,0.8,2.0,20.9,16.0,0.0,1.3
