level_0,aqi,co,datacreationdate,index,no,no2,o3,pm10,pm2.5,siteid,sitename,so2,status
0,21,0.11,2024-05-31 05:00,0,0.1,2.1,15.7,17.0,0.0,313,Pingtung（fangshan）,0.1,Good
1,19,0.04,2024-05-31 05:00,1,0.2,10.5,7.5,34.0,3.0,312,Taichung（Rilana Elementary）,0.3,Good
2,53,0.55,2024-05-31 05:00,2,3.8,5.5,6.0,31.0,17.0,311,New Taipei(Shulin),1.8,Moderate
3,23,0.08,2024-05-31 05:00,3,1.3,0.6,21.6,14.0,6.0,204,Pingtung（Liuqiu）,0.6,Good
4,17,0.2,2024-05-31 05:00,4,1.3,2.6,17.6,21.0,2.0,203,Tainan（Madou）,0.3,Good
5,17,0.27,2024-05-31 05:00,5,2.0,4.2,14.6,15.0,6.0,202,Kaohsiung（Hunei）,0.6,Good
6,36,0.36,2024-05-31 05:00,6,1.1,5.8,10.9,30.0,12.0,201,Changhua（Yuanlin）,1.9,Good
7,15,0.1,2024-05-31 05:00,7,0.6,1.7,19.3,13.0,2.0,85,Dacheng,0.7,Good
8,32,0.15,2024-05-31 05:00,8,0.2,5.2,20.2,27.0,9.0,84,FugueiCape,0.3,Good
9,17,0.2,2024-05-31 05:00,9,0.4,2.1,22.0,16.0,3.0,83,Mailiao,1.0,Good
10,24,0.11,2024-05-31 05:00,10,0.4,2.4,2.3,16.0,8.0,80,Guanshan,0.5,Good
11,25,0.17,2024-05-31 05:00,11,1.1,4.3,24.5,8.0,1.0,78,Magong,0.9,Good
12,84,0.37,2024-05-31 05:00,12,0.5,28.1,1.6,29.0,33.0,77,Kinmen,1.5,Moderate
13,43,0.2,2024-05-31 05:00,13,0.6,5.8,29.9,24.0,19.0,75,Matsu,0.6,Good
14,27,0.38,2024-05-31 05:00,14,1.6,2.3,5.1,19.0,6.0,72,Puli,1.0,Good
15,18,0.31,2024-05-31 05:00,15,1.9,5.2,15.4,16.0,2.0,71,Fuxing,4.2,Good
16,41,1.13,2024-05-31 05:00,16,11.2,5.3,6.0,21.0,15.0,70,Yonghe,1.1,Good
17,27,0.25,2024-05-31 05:00,17,0.7,4.1,2.8,25.0,10.0,69,Zhushan,1.0,Good
18,56,0.97,2024-05-31 05:00,18,19.8,15.3,5.3,36.0,17.0,68,Zhongli,2.4,Moderate
19,36,1.75,2024-05-31 05:00,19,83.5,9.9,4.6,17.0,9.0,67,Sanchong,1.4,Good
20,24,0.21,2024-05-31 05:00,20,0.7,6.2,2.5,24.0,8.0,66,Dongshan,0.4,Good
21,16,0.24,2024-05-31 05:00,21,0.3,3.1,7.7,6.0,1.0,65,Yilan,0.9,Good
22,28,0.17,2024-05-31 05:00,22,0.6,1.4,27.4,16.0,4.0,64,Yangming,0.7,Good
23,19,0.28,2024-05-31 05:00,23,0.7,2.9,4.2,8.0,4.0,63,Hualien,0.2,Good
24,18,0.28,2024-05-31 05:00,24,1.9,1.8,7.3,8.0,5.0,62,Taitung,0.1,Good
25,25,0.1,2024-05-31 05:00,25,0.5,0.5,26.0,10.0,6.0,61,Hengchun,0.7,Good
26,17,0.11,2024-05-31 05:00,26,0.2,1.3,16.1,23.0,0.0,60,Chaozhou,0.8,Good
27,18,0.28,2024-05-31 05:00,27,0.7,4.2,12.7,14.0,1.0,59,Pingtung,0.6,Good
28,23,0.26,2024-05-31 05:00,28,0.7,10.5,10.5,11.0,7.0,58,Xiaogang,2.4,Good
29,17,0.5,2024-05-31 05:00,29,5.5,6.2,16.0,16.0,3.0,57,Qianzhen,6.1,Good
30,17,0.18,2024-05-31 05:00,30,0.1,5.2,16.5,13.0,1.0,56,Qianjin,3.2,Good
31,20,0.33,2024-05-31 05:00,31,0.3,4.7,17.8,17.0,5.0,54,Zuoying,2.4,Good
32,20,0.2,2024-05-31 05:00,32,0.6,12.2,9.6,13.0,3.0,53,Nanzi,1.0,Good
33,21,0.11,2024-05-31 05:00,33,0.7,2.4,12.7,19.0,3.0,52,Linyuan,0.8,Good
34,18,0.12,2024-05-31 05:00,34,0.3,8.4,7.2,19.0,6.0,51,Daliao,0.4,Good
35,19,0.32,2024-05-31 05:00,35,0.8,4.3,13.9,16.0,1.0,50,Fengshan,2.1,Good
36,21,0.21,2024-05-31 05:00,36,0.9,2.9,20.1,6.0,3.0,49,Renwu,,Good
37,17,0.31,2024-05-31 05:00,37,0.1,4.1,16.5,13.0,0.0,48,Qiaotou,1.3,Good
