siteid,sitename,datacreationdate,aqi,status,level_0,co,index,no,no2,o3,pm10,pm2.5,so2
313,Pingtung（fangshan）,2024-05-30 20:00,32,Good,0,0.11,0,0.1,2.1,30.6,17.0,0.0,0.1
312,Taichung（Rilana Elementary）,2024-05-30 20:00,45,Good,1,0.04,1,0.2,10.5,38.1,34.0,3.0,0.3
311,New Taipei(Shulin),2024-05-30 20:00,54,Moderate,2,0.55,2,3.8,5.5,8.4,31.0,17.0,1.8
204,Pingtung（Liuqiu）,2024-05-30 20:00,28,Good,3,0.08,3,1.3,0.6,29.6,14.0,6.0,0.6
203,Tainan（Madou）,2024-05-30 20:00,29,Good,4,0.2,4,1.3,2.6,20.1,21.0,2.0,0.3
202,Kaohsiung（Hunei）,2024-05-30 20:00,21,Good,5,0.27,5,2.0,4.2,15.1,15.0,6.0,0.6
201,Changhua（Yuanlin）,2024-05-30 20:00,42,Good,6,0.36,6,1.1,5.8,27.7,30.0,12.0,1.9
85,Dacheng,2024-05-30 20:00,46,Good,7,0.1,7,0.6,1.7,27.7,13.0,2.0,0.7
84,FugueiCape,2024-05-30 20:00,41,Good,8,0.15,8,0.2,5.2,31.1,27.0,9.0,0.3
83,Mailiao,2024-05-30 20:00,41,Good,9,0.2,9,0.4,2.1,23.2,16.0,3.0,1.0
80,Guanshan,2024-05-30 20:00,26,Good,10,0.11,10,0.4,2.4,23.4,16.0,8.0,0.5
78,Magong,2024-05-30 20:00,37,Good,11,0.17,11,1.1,4.3,32.4,8.0,1.0,0.9
77,Kinmen,2024-05-30 20:00,80,Moderate,12,0.37,12,0.5,28.1,33.0,29.0,33.0,1.5
75,Matsu,2024-05-30 20:00,46,Good,13,0.2,13,0.6,5.8,39.9,24.0,19.0,0.6
72,Puli,2024-05-30 20:00,43,Good,14,0.38,14,1.6,2.3,22.5,19.0,6.0,1.0
71,Fuxing,2024-05-30 20:00,21,Good,15,0.31,15,1.9,5.2,21.6,16.0,2.0,4.2
70,Yonghe,2024-05-30 20:00,45,Good,16,1.13,16,11.2,5.3,8.8,21.0,15.0,1.1
69,Zhushan,2024-05-30 20:00,40,Good,17,0.25,17,0.7,4.1,17.6,25.0,10.0,1.0
68,Zhongli,2024-05-30 20:00,52,Moderate,18,0.97,18,19.8,15.3,10.9,36.0,17.0,2.4
67,Sanchong,2024-05-30 20:00,62,Moderate,19,1.75,19,83.5,9.9,3.8,17.0,9.0,1.4
66,Dongshan,2024-05-30 20:00,36,Good,20,0.21,20,0.7,6.2,30.7,24.0,8.0,0.4
65,Yilan,2024-05-30 20:00,41,Good,21,0.24,21,0.3,3.1,35.3,6.0,1.0,0.9
64,Yangming,2024-05-30 20:00,25,Good,22,0.17,22,0.6,1.4,14.9,16.0,4.0,0.7
63,Hualien,2024-05-30 20:00,31,Good,23,0.28,23,0.7,2.9,21.8,8.0,4.0,0.2
62,Taitung,2024-05-30 20:00,27,Good,24,0.28,24,1.9,1.8,23.9,8.0,5.0,0.1
61,Hengchun,2024-05-30 20:00,31,Good,25,0.1,25,0.5,0.5,30.5,10.0,6.0,0.7
60,Chaozhou,2024-05-30 20:00,28,Good,26,0.11,26,0.2,1.3,23.8,23.0,0.0,0.8
59,Pingtung,2024-05-30 20:00,27,Good,27,0.28,27,0.7,4.2,24.2,14.0,1.0,0.6
58,Xiaogang,2024-05-30 20:00,25,Good,28,0.26,28,0.7,10.5,24.2,11.0,7.0,2.4
57,Qianzhen,2024-05-30 20:00,25,Good,29,0.5,29,5.5,6.2,17.2,16.0,3.0,6.1
56,Qianjin,2024-05-30 20:00,21,Good,30,0.18,30,0.1,5.2,18.7,13.0,1.0,3.2
54,Zuoying,2024-05-30 20:00,29,Good,31,0.33,31,0.3,4.7,19.7,17.0,5.0,2.4
53,Nanzi,2024-05-30 20:00,25,Good,32,0.2,32,0.6,12.2,23.5,13.0,3.0,1.0
52,Linyuan,2024-05-30 20:00,31,Good,33,0.11,33,0.7,2.4,33.4,19.0,3.0,0.8
51,Daliao,2024-05-30 20:00,27,Good,34,0.12,34,0.3,8.4,27.2,19.0,6.0,0.4
50,Fengshan,2024-05-30 20:00,24,Good,35,0.32,35,0.8,4.3,23.6,16.0,1.0,2.1
49,Renwu,2024-05-30 20:00,28,Good,36,0.21,36,0.9,2.9,28.2,6.0,3.0,
48,Qiaotou,2024-05-30 20:00,23,Good,37,0.31,37,0.1,4.1,17.9,13.0,0.0,1.3
47,Meinong,2024-05-30 20:00,30,Good,38,0.15,38,1.1,1.0,26.5,15.0,0.0,0.8
46,Tainan,2024-05-30 20:00,31,Good,39,0.26,39,0.6,4.4,22.3,14.0,9.0,1.0
45,Annan,2024-05-30 20:00,33,Good,40,0.29,40,2.1,3.4,21.2,12.0,7.0,1.1
44,Shanhua,2024-05-30 20:00,29,Good,41,0.09,41,1.0,1.5,23.4,13.0,4.0,0.4
