siteid,sitename,datacreationdate,aqi,status,index,co,no,no2,o3,pm10,pm2.5,so2
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,0.0,0.09,0.0,1.4,26.2,10.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,1.0,,0.8,10.6,9.7,18.0,6.0,0.1
311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,2.0,0.33,4.4,11.3,3.4,24.0,19.0,0.4
204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,3.0,0.07,1.3,0.6,26.1,5.0,8.0,0.4
203,Tainan（Madou）,2024-05-31 02:00,18,Good,4.0,0.1,0.2,3.8,22.4,10.0,6.0,0.4
202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,5.0,0.24,1.0,6.4,16.3,6.0,6.0,1.3
201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,6.0,0.2,1.0,6.8,15.3,17.0,10.0,1.7
85,Dacheng,2024-05-31 02:00,18,Good,7.0,0.1,0.3,5.6,15.0,10.0,5.0,1.3
84,FugueiCape,2024-05-31 02:00,28,Good,8.0,0.21,0.2,9.5,21.2,27.0,7.0,0.6
83,Mailiao,2024-05-31 02:00,22,Good,9.0,0.13,0.4,5.6,18.0,16.0,7.0,1.3
80,Guanshan,2024-05-31 02:00,21,Good,10.0,0.1,1.9,1.7,4.4,30.0,3.0,0.1
78,Magong,2024-05-31 02:00,27,Good,11.0,0.09,0.5,2.1,30.7,3.0,1.0,0.5
77,Kinmen,2024-05-31 02:00,78,Moderate,12.0,0.36,1.6,25.7,4.9,30.0,26.0,1.2
75,Matsu,2024-05-31 02:00,38,Good,13.0,0.18,1.1,15.6,25.7,7.0,9.0,1.5
72,Puli,2024-05-31 02:00,33,Good,14.0,0.18,1.6,3.1,7.1,24.0,8.0,0.9
71,Fuxing,2024-05-31 02:00,18,Good,15.0,0.12,0.8,5.6,21.3,7.0,3.0,3.7
70,Yonghe,2024-05-31 02:00,59,Moderate,16.0,0.24,1.3,5.4,7.6,12.0,12.0,0.7
69,Zhushan,2024-05-31 02:00,24,Good,17.0,0.11,1.0,5.7,3.6,25.0,3.0,0.7
68,Zhongli,2024-05-31 02:00,51,Moderate,18.0,0.62,4.0,26.1,8.8,30.0,19.0,2.2
67,Sanchong,2024-05-31 02:00,39,Good,19.0,0.52,4.8,17.0,2.5,18.0,11.0,0.7
66,Dongshan,2024-05-31 02:00,24,Good,20.0,0.3,0.8,4.0,6.9,20.0,7.0,0.3
65,Yilan,2024-05-31 02:00,19,Good,21.0,0.15,0.5,2.8,8.8,19.0,6.0,1.6
64,Yangming,2024-05-31 02:00,25,Good,22.0,0.17,0.8,3.2,29.9,14.0,8.0,0.7
63,Hualien,2024-05-31 02:00,22,Good,23.0,0.16,0.8,1.1,17.0,6.0,6.0,0.3
62,Taitung,2024-05-31 02:00,17,Good,24.0,0.1,1.6,4.4,8.5,22.0,1.0,0.6
61,Hengchun,2024-05-31 02:00,25,Good,25.0,0.07,0.3,1.0,24.7,18.0,3.0,0.1
60,Chaozhou,2024-05-31 02:00,18,Good,26.0,0.07,1.8,1.4,16.4,12.0,0.0,0.5
