pm10,o3,co,no2,no,so2,siteid,sitename,datacreationdate,aqi,status,pm2.5
10.0,20.6,0.09,1.7,0.2,0.0,313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,
16.0,11.2,0.0,7.3,0.4,0.0,312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,
26.0,5.6,0.28,7.1,0.9,0.4,311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,
8.0,25.7,0.06,0.7,1.1,0.4,204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,
11.0,19.4,0.09,3.2,0.3,0.4,203,Tainan（Madou）,2024-05-31 03:00,17,Good,
6.0,17.1,0.14,4.8,1.0,1.2,202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,
27.0,8.7,0.21,8.4,1.5,1.5,201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,
8.0,20.0,0.07,4.1,0.7,1.2,85,Dacheng,2024-05-31 03:00,16,Good,
27.0,20.1,0.22,9.2,0.1,0.9,84,FugueiCape,2024-05-31 03:00,27,Good,
7.0,21.9,0.11,3.3,0.5,1.1,83,Mailiao,2024-05-31 03:00,21,Good,
28.0,5.2,0.1,1.6,1.2,0.3,80,Guanshan,2024-05-31 03:00,23,Good,
6.0,27.3,0.08,2.6,0.1,0.6,78,Magong,2024-05-31 03:00,26,Good,
36.0,4.0,0.38,27.3,1.6,1.7,77,Kinmen,2024-05-31 03:00,81,Moderate,
16.0,40.1,0.19,5.4,1.0,0.7,75,Matsu,2024-05-31 03:00,37,Good,
22.0,7.9,0.18,2.1,1.5,0.8,72,Puli,2024-05-31 03:00,33,Good,
4.0,21.1,0.11,4.0,1.3,4.2,71,Fuxing,2024-05-31 03:00,18,Good,
12.0,7.1,0.22,4.6,1.5,0.7,70,Yonghe,2024-05-31 03:00,57,Moderate,
31.0,3.6,0.1,4.7,1.3,0.7,69,Zhushan,2024-05-31 03:00,25,Good,
42.0,4.0,0.74,23.0,6.4,2.2,68,Zhongli,2024-05-31 03:00,53,Moderate,
27.0,4.1,0.45,15.1,4.3,0.6,67,Sanchong,2024-05-31 03:00,39,Good,
27.0,4.7,0.39,4.8,1.2,0.2,66,Dongshan,2024-05-31 03:00,24,Good,
17.0,9.0,0.15,2.4,0.5,1.6,65,Yilan,2024-05-31 03:00,17,Good,
13.0,30.5,0.15,2.3,0.7,0.6,64,Yangming,2024-05-31 03:00,26,Good,
10.0,11.4,0.16,1.1,0.7,0.1,63,Hualien,2024-05-31 03:00,20,Good,
17.0,13.0,0.09,2.8,1.3,0.6,62,Taitung,2024-05-31 03:00,17,Good,
12.0,30.1,0.07,0.6,0.3,0.1,61,Hengchun,2024-05-31 03:00,25,Good,
18.0,14.6,0.07,1.3,1.8,0.4,60,Chaozhou,2024-05-31 03:00,16,Good,
12.0,18.0,0.1,3.0,0.5,0.5,59,Pingtung,2024-05-31 03:00,20,Good,
9.0,20.0,0.11,6.8,0.4,1.4,58,Xiaogang,2024-05-31 03:00,31,Good,
5.0,21.4,0.09,5.8,0.3,6.8,57,Qianzhen,2024-05-31 03:00,17,Good,
4.0,21.9,0.12,4.3,0.2,1.3,56,Qianjin,2024-05-31 03:00,18,Good,
5.0,21.8,0.11,4.1,0.5,0.5,54,Zuoying,2024-05-31 03:00,26,Good,
9.0,20.1,0.1,7.4,0.8,0.9,53,Nanzi,2024-05-31 03:00,18,Good,
13.0,19.0,0.1,1.8,0.0,1.0,52,Linyuan,2024-05-31 03:00,26,Good,
7.0,16.9,0.09,3.1,0.3,0.4,51,Daliao,2024-05-31 03:00,21,Good,
4.0,22.6,0.1,1.5,0.1,0.5,50,Fengshan,2024-05-31 03:00,21,Good,
3.0,24.0,0.1,3.2,0.2,1.4,49,Renwu,2024-05-31 03:00,23,Good,
7.0,18.7,0.07,3.5,0.8,0.3,48,Qiaotou,2024-05-31 03:00,18,Good,
7.0,24.3,0.1,0.8,0.7,0.1,47,Meinong,2024-05-31 03:00,17,Good,
15.0,20.6,0.12,5.3,1.0,1.0,46,Tainan,2024-05-31 03:00,27,Good,
17.0,21.0,0.14,5.7,0.5,0.8,45,Annan,2024-05-31 03:00,24,Good,
7.0,20.5,0.06,2.1,0.5,0.3,44,Shanhua,2024-05-31 03:00,24,Good,
6.0,19.8,0.1,2.6,1.0,0.7,43,Xinying,2024-05-31 03:00,19,Good,
7.0,21.9,0.08,1.1,0.5,0.8,42,Chiayi,2024-05-31 03:00,19,Good,
12.0,20.6,0.11,3.8,0.5,1.1,41,Taixi,2024-05-31 03:00,19,Good,
12.0,18.7,0.1,4.0,1.2,1.1,40,Puzi,2024-05-31 03:00,17,Good,
11.0,22.4,0.09,2.4,0.5,0.9,39,Xingang,2024-05-31 03:00,22,Good,
13.0,20.6,0.11,1.7,0.0,0.2,38,Lunbei,2024-05-31 03:00,20,Good,
27.0,7.5,0.14,7.9,2.4,1.2,37,Douliu,2024-05-31 03:00,23,Good,
31.0,4.8,0.14,4.8,0.4,0.2,36,Nantou,2024-05-31 03:00,28,Good,
25.0,11.7,0.14,7.3,0.2,1.3,35,Erlin,2024-05-31 03:00,44,Good,
20.0,4.3,0.21,9.1,2.0,0.3,34,Xianxi,2024-05-31 03:00,28,Good,
13.0,16.2,0.13,5.1,0.8,0.6,33,Changhua,2024-05-31 03:00,23,Good,
25.0,6.8,0.17,6.5,1.0,0.7,32,Xitun,2024-05-31 03:00,30,Good,
19.0,6.2,0.22,6.5,0.9,1.4,31,Zhongming,2024-05-31 03:00,26,Good,
12.0,8.8,0.14,4.6,0.0,0.9,30,Dali,2024-05-31 03:00,31,Good,
12.0,18.0,0.17,6.2,1.0,0.7,29,Shalu,2024-05-31 03:00,26,Good,
14.0,19.6,0.14,3.6,0.9,0.7,28,Fengyuan,2024-05-31 03:00,19,Good,
12.0,20.1,0.12,1.5,0.9,0.7,27,Sanyi,2024-05-31 03:00,24,Good,
20.0,0.2,0.21,11.0,4.5,0.7,26,Miaoli,2024-05-31 03:00,44,Good,
26.0,6.7,0.2,4.5,1.2,0.9,25,Toufen,2024-05-31 03:00,36,Good,
25.0,17.4,0.27,9.4,0.9,0.5,24,Hsinchu,2024-05-31 03:00,35,Good,
22.0,8.1,0.24,4.6,0.7,0.8,23,Zhudong,2024-05-31 03:00,54,Moderate,
26.0,17.4,0.27,10.6,2.1,0.4,22,Hukou,2024-05-31 03:00,51,Moderate,
27.0,4.8,0.32,15.8,4.3,0.2,21,Longtan,2024-05-31 03:00,59,Moderate,
34.0,4.0,0.41,23.7,1.3,1.1,20,Pingzhen,2024-05-31 03:00,44,Good,
25.0,19.3,0.22,8.6,1.5,0.4,19,Guanyin,2024-05-31 03:00,35,Good,
32.0,17.8,0.3,9.8,0.1,1.4,18,Dayuan,2024-05-31 03:00,49,Good,
31.0,8.0,0.44,20.0,1.1,2.0,17,Taoyuan,2024-05-31 03:00,49,Good,
18.0,4.8,0.57,13.3,8.6,1.0,16,Datong,2024-05-31 03:00,38,Good,
18.0,5.7,0.34,13.6,2.0,0.0,15,Songshan,2024-05-31 03:00,44,Good,
15.0,7.7,0.19,3.6,1.0,2.4,14,Guting,2024-05-31 03:00,25,Good,
21.0,7.5,0.28,8.8,1.6,0.1,13,Wanhua,2024-05-31 03:00,31,Good,
18.0,7.3,0.3,10.0,1.0,0.3,12,Zhongshan,2024-05-31 03:00,31,Good,
21.0,9.0,0.32,11.1,0.4,0.8,11,Shilin,2024-05-31 03:00,39,Good,
22.0,7.1,0.34,14.7,1.0,1.6,10,Tamsui,2024-05-31 03:00,36,Good,
21.0,14.3,0.37,19.9,7.6,1.4,9,Linkou,2024-05-31 03:00,33,Good,
24.0,2.5,0.5,19.1,1.8,0.8,8,Cailiao,2024-05-31 03:00,37,Good,
19.0,7.8,0.41,16.2,0.4,0.8,7,Xinzhuang,2024-05-31 03:00,53,Moderate,
27.0,4.6,0.43,18.4,0.9,0.7,6,Banqiao,2024-05-31 03:00,40,Good,
30.0,3.8,0.38,14.7,1.8,0.1,5,Tucheng,2024-05-31 03:00,55,Moderate,
