siteid,sitename,datacreationdate,aqi,status,pm2.5_x,pm2.5_y,no2,o3,co,pm10,no,so2
313,Pingtung（fangshan）,2024-05-30 17:00,33,Good,0.0,0.0,1.1,37.6,0.09,8.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-30 17:00,50,Good,8.0,8.0,4.1,50.0,0.09,32.0,0.4,1.0
311,New Taipei(Shulin),2024-05-30 17:00,46,Good,17.0,17.0,26.5,21.3,0.35,25.0,2.3,3.8
204,Pingtung（Liuqiu）,2024-05-30 17:00,27,Good,5.0,5.0,1.3,30.5,0.08,17.0,1.3,0.7
203,Tainan（Madou）,2024-05-30 17:00,32,Good,7.0,7.0,5.5,32.7,0.16,17.0,1.7,0.0
202,Kaohsiung（Hunei）,2024-05-30 17:00,25,Good,7.0,7.0,4.8,27.8,0.19,20.0,2.3,0.7
201,Changhua（Yuanlin）,2024-05-30 17:00,57,Moderate,12.0,12.0,7.5,31.1,0.28,22.0,2.2,1.8
85,Dacheng,2024-05-30 17:00,67,Moderate,6.0,6.0,2.7,48.8,0.1,9.0,0.3,0.7
84,FugueiCape,2024-05-30 17:00,44,Good,8.0,8.0,1.4,46.6,0.14,39.0,0.1,0.3
83,Mailiao,2024-05-30 17:00,54,Moderate,11.0,11.0,7.1,38.9,0.21,16.0,1.2,1.2
80,Guanshan,2024-05-30 17:00,30,Good,1.0,1.0,2.7,,0.12,5.0,0.6,0.2
78,Magong,2024-05-30 17:00,44,Good,5.0,5.0,4.3,34.7,0.18,7.0,2.1,1.1
77,Kinmen,2024-05-30 17:00,68,Moderate,33.0,33.0,12.3,52.7,0.33,37.0,0.9,1.8
75,Matsu,2024-05-30 17:00,45,Good,14.0,14.0,5.7,55.0,0.23,35.0,1.4,0.9
72,Puli,2024-05-30 17:00,49,Good,12.0,12.0,6.3,48.3,0.29,11.0,1.6,0.9
71,Fuxing,2024-05-30 17:00,23,Good,4.0,4.0,9.4,26.4,0.25,12.0,3.5,3.1
70,Yonghe,2024-05-30 17:00,36,Good,11.0,11.0,18.3,34.6,0.48,11.0,2.4,0.8
69,Zhushan,2024-05-30 17:00,58,Moderate,16.0,16.0,9.2,34.9,0.29,19.0,1.1,1.1
68,Zhongli,2024-05-30 17:00,55,Moderate,13.0,13.0,36.8,15.2,0.89,34.0,36.2,1.6
67,Sanchong,2024-05-30 17:00,55,Moderate,11.0,11.0,36.6,16.2,0.7,26.0,30.2,1.1
66,Dongshan,2024-05-30 17:00,38,Good,6.0,6.0,6.4,39.8,0.24,19.0,1.5,0.6
65,Yilan,2024-05-30 17:00,44,Good,5.0,5.0,3.3,43.6,0.23,18.0,0.6,1.0
64,Yangming,2024-05-30 17:00,28,Good,4.0,4.0,1.6,29.1,0.17,10.0,0.6,1.9
63,Hualien,2024-05-30 17:00,32,Good,7.0,7.0,4.7,32.0,0.26,15.0,1.2,0.3
62,Taitung,2024-05-30 17:00,32,Good,0.0,0.0,4.7,26.0,0.26,9.0,2.8,0.2
61,Hengchun,2024-05-30 17:00,31,Good,3.0,3.0,0.8,35.6,0.1,17.0,0.6,0.6
60,Chaozhou,2024-05-30 17:00,29,Good,3.0,3.0,1.7,32.0,0.08,9.0,0.3,0.9
59,Pingtung,2024-05-30 17:00,30,Good,3.0,3.0,4.8,30.4,0.19,11.0,1.2,0.6
58,Xiaogang,2024-05-30 17:00,32,Good,9.0,9.0,10.4,25.1,0.54,16.0,3.4,3.5
57,Qianzhen,2024-05-30 17:00,22,Good,4.0,4.0,13.6,24.8,0.33,14.0,5.8,3.1
56,Qianjin,2024-05-30 17:00,23,Good,4.0,4.0,9.7,26.4,0.14,17.0,2.4,2.4
54,Zuoying,2024-05-30 17:00,34,Good,9.0,9.0,9.3,28.4,0.24,18.0,1.7,2.0
53,Nanzi,2024-05-30 17:00,26,Good,3.0,3.0,9.4,29.6,0.17,23.0,2.4,0.4
52,Linyuan,2024-05-30 17:00,31,Good,1.0,1.0,0.2,34.2,0.1,16.0,0.9,0.7
51,Daliao,2024-05-30 17:00,28,Good,6.0,6.0,3.2,30.6,0.11,11.0,0.8,0.3
50,Fengshan,2024-05-30 17:00,27,Good,8.0,8.0,5.8,29.2,0.3,27.0,1.9,2.2
49,Renwu,2024-05-30 17:00,30,Good,3.0,3.0,3.9,33.9,0.16,14.0,1.1,
48,Qiaotou,2024-05-30 17:00,27,Good,,,7.2,26.8,0.22,14.0,1.2,1.7
47,Meinong,2024-05-30 17:00,33,Good,3.0,3.0,1.5,35.0,0.11,8.0,1.3,0.9
46,Tainan,2024-05-30 17:00,38,Good,9.0,9.0,5.5,32.7,0.17,15.0,1.1,0.7
45,Annan,2024-05-30 17:00,38,Good,10.0,10.0,6.3,31.1,0.19,17.0,3.0,0.6
44,Shanhua,2024-05-30 17:00,36,Good,10.0,10.0,5.2,37.6,0.13,20.0,1.8,0.6
43,Xinying,2024-05-30 17:00,42,Good,4.0,4.0,5.1,33.4,0.18,14.0,1.2,0.0
42,Chiayi,2024-05-30 17:00,47,Good,4.0,4.0,4.0,30.8,0.15,13.0,1.3,1.4
41,Taixi,2024-05-30 17:00,54,Moderate,6.0,6.0,3.1,32.2,0.13,15.0,1.4,1.5
40,Puzi,2024-05-30 17:00,39,Good,,,6.9,32.8,0.22,15.0,3.1,1.0
39,Xingang,2024-05-30 17:00,47,Good,5.0,5.0,5.5,37.0,0.16,15.0,2.5,1.1
38,Lunbei,2024-05-30 17:00,44,Good,6.0,6.0,3.1,32.2,0.15,17.0,1.7,0.9
37,Douliu,2024-05-30 17:00,49,Good,4.0,4.0,3.7,29.3,0.18,6.0,1.6,1.5
36,Nantou,2024-05-30 17:00,61,Moderate,9.0,9.0,8.7,37.0,0.23,21.0,1.6,0.5
35,Erlin,2024-05-30 17:00,67,Moderate,16.0,16.0,3.5,47.0,0.16,21.0,1.7,1.3
34,Xianxi,2024-05-30 17:00,54,Moderate,8.0,8.0,3.7,47.4,0.16,35.0,1.9,1.3
33,Changhua,2024-05-30 17:00,80,Moderate,10.0,10.0,6.6,49.7,0.17,35.0,1.8,0.9
32,Xitun,2024-05-30 17:00,77,Moderate,11.0,11.0,6.7,51.0,0.17,42.0,1.1,1.8
31,Zhongming,2024-05-30 17:00,46,Good,14.0,14.0,11.4,43.8,0.29,32.0,1.5,1.9
30,Dali,2024-05-30 17:00,84,Moderate,16.0,16.0,11.6,50.6,0.31,27.0,1.0,1.7
29,Shalu,2024-05-30 17:00,71,Moderate,13.0,13.0,8.3,50.2,0.23,40.0,0.6,2.3
28,Fengyuan,2024-05-30 17:00,84,Moderate,17.0,17.0,9.5,51.7,0.35,32.0,1.2,1.9
27,Sanyi,2024-05-30 17:00,58,Moderate,14.0,14.0,4.1,52.0,0.24,33.0,1.3,1.6
26,Miaoli,2024-05-30 17:00,74,Moderate,13.0,13.0,4.1,57.2,0.21,21.0,0.9,1.7
25,Toufen,2024-05-30 17:00,58,Moderate,8.0,8.0,4.7,44.1,0.23,30.0,1.6,1.4
