siteid,sitename,datacreationdate,aqi,status,no2,pm2.5,o3,co,pm10,no,so2
313,Pingtung（fangshan）,2024-05-30 21:00,31,Good,3.6,1.0,,,,,
312,Taichung（Rilana Elementary）,2024-05-30 21:00,41,Good,8.0,11.0,,,,,
311,New Taipei(Shulin),2024-05-30 21:00,52,Moderate,20.7,19.0,,,,,
204,Pingtung（Liuqiu）,2024-05-30 21:00,28,Good,1.0,6.0,,,,,
203,Tainan（Madou）,2024-05-30 21:00,28,Good,17.4,9.0,,,,,
202,Kaohsiung（Hunei）,2024-05-30 21:00,22,Good,13.2,8.0,,,,,
201,Changhua（Yuanlin）,2024-05-30 21:00,40,Good,11.3,11.0,,,,,
85,Dacheng,2024-05-30 21:00,41,Good,4.4,4.0,,,,,
84,FugueiCape,2024-05-30 21:00,38,Good,3.7,9.0,,,,,
83,Mailiao,2024-05-30 21:00,35,Good,6.9,7.0,,,,,
80,Guanshan,2024-05-30 21:00,23,Good,3.5,4.0,,,,,
78,Magong,2024-05-30 21:00,32,Good,5.7,0.0,,,,,
77,Kinmen,2024-05-30 21:00,77,Moderate,13.7,21.0,,,,,
75,Matsu,2024-05-30 21:00,44,Good,5.8,13.0,,,,,
72,Puli,2024-05-30 21:00,41,Good,7.6,11.0,,,,,
71,Fuxing,2024-05-30 21:00,21,Good,10.7,6.0,,,,,
70,Yonghe,2024-05-30 21:00,50,Good,30.2,14.0,,,,,
69,Zhushan,2024-05-30 21:00,39,Good,7.3,14.0,,,,,
68,Zhongli,2024-05-30 21:00,48,Good,26.1,14.0,,,,,
67,Sanchong,2024-05-30 21:00,60,Moderate,44.4,11.0,,,,,
66,Dongshan,2024-05-30 21:00,34,Good,4.0,5.0,,,,,
65,Yilan,2024-05-30 21:00,38,Good,3.8,8.0,,,,,
64,Yangming,2024-05-30 21:00,25,Good,1.6,5.0,,,,,
63,Hualien,2024-05-30 21:00,29,Good,5.3,12.0,,,,,
62,Taitung,2024-05-30 21:00,26,Good,5.0,3.0,,,,,
61,Hengchun,2024-05-30 21:00,30,Good,1.4,2.0,,,,,
60,Chaozhou,2024-05-30 21:00,26,Good,4.0,4.0,,,,,
59,Pingtung,2024-05-30 21:00,26,Good,8.6,10.0,,,,,
58,Xiaogang,2024-05-30 21:00,23,Good,14.0,6.0,,,,,
57,Qianzhen,2024-05-30 21:00,23,Good,14.8,6.0,,,,,
56,Qianjin,2024-05-30 21:00,21,Good,9.5,4.0,,,,,
54,Zuoying,2024-05-30 21:00,28,Good,10.2,7.0,,,,,
53,Nanzi,2024-05-30 21:00,27,Good,12.9,7.0,,,,,
52,Linyuan,2024-05-30 21:00,31,Good,1.0,3.0,,,,,
51,Daliao,2024-05-30 21:00,27,Good,3.8,3.0,,,,,
50,Fengshan,2024-05-30 21:00,24,Good,7.7,9.0,,,,,
49,Renwu,2024-05-30 21:00,28,Good,4.4,8.0,,,,,
48,Qiaotou,2024-05-30 21:00,22,Good,9.2,6.0,,,,,
47,Meinong,2024-05-30 21:00,28,Good,4.4,6.0,,,,,
46,Tainan,2024-05-30 21:00,31,Good,16.0,9.0,,,,,
45,Annan,2024-05-30 21:00,38,Good,16.9,17.0,,,,,
44,Shanhua,2024-05-30 21:00,26,Good,3.2,7.0,,,,,
43,Xinying,2024-05-30 21:00,29,Good,4.5,0.0,,,,,
42,Chiayi,2024-05-30 21:00,32,Good,3.9,5.0,,,,,
41,Taixi,2024-05-30 21:00,38,Good,3.7,5.0,,,,,
