siteid,datacreationdate,aqi,status,pm2.5,no2,so2,o3,co,pm10,no
313,2024-05-27 08:00,9,Good,1,3.1,0.2,14.4,0.08,9,2.3
312,2024-05-27 08:00,48,Good,10,7.7,0.4,12,0.26,21,9
311,2024-05-27 08:00,47,Good,18,19.7,0.5,4.7,0.64,36,19
204,2024-05-27 08:00,20,Good,9,6.6,0.9,3.5,0.14,19,5.4
203,2024-05-27 08:00,23,Good,4,8,0.6,2.1,0.31,27,11.7
202,2024-05-27 08:00,21,Good,5,11.4,1.2,2.3,0.64,18,13.2
201,2024-05-27 08:00,62,Moderate,16,9.3,1.8,10.2,0.32,25,3.5
85,2024-05-27 08:00,47,Good,6,6.7,1,10.2,0.12,32,5.7
84,2024-05-27 08:00,29,Good,3,3.1,0.4,22.5,0.13,18,0.9
83,2024-05-27 08:00,53,Moderate,7,4.4,1.7,9.1,0.25,17,5.6
80,2024-05-27 08:00,20,Good,3,2.4,1,6.8,0.13,22,1.9
78,2024-05-27 08:00,16,Good,1,4.8,1,16.5,0.14,5,1.5
77,2024-05-27 08:00,10,Good,3,4.7,0.5,12.6,0.19,0,2
75,2024-05-27 08:00,33,Good,8,4.3,0.7,19.1,0.11,17,1.2
72,2024-05-27 08:00,67,Moderate,21,4.7,1,3.7,0.36,42,4.8
71,2024-05-27 08:00,18,Good,1,11,0.8,4.2,0.59,15,10.8
70,2024-05-27 08:00,28,Good,9,10.1,0.9,6.3,1.02,24,15.4
69,2024-05-27 08:00,45,Good,14,6.4,1.2,5.1,0.2,36,5.5
68,2024-05-27 08:00,55,Moderate,17,20.6,1.6,3.9,1.99,37,48.4
67,2024-05-27 08:00,37,Good,8,22,1.3,4.6,1.13,26,49.7
66,2024-05-27 08:00,30,Good,9,7.2,0.7,6.6,0.3,42,12
65,2024-05-27 08:00,20,Good,5,2.6,1.3,12.6,0.2,12,1.8
64,2024-05-27 08:00,22,Good,6,2.1,0.7,21.3,0.15,10,0.8
63,2024-05-27 08:00,27,Good,11,3.1,0.5,12.2,0.18,11,2.6
62,2024-05-27 08:00,18,Good,4,3.4,0.4,6,0.17,19,3.2
61,2024-05-27 08:00,13,Good,5,1.5,,13.9,0.11,11,1.3
60,2024-05-27 08:00,24,Good,6,5,0.7,3.1,0.14,24,5.9
59,2024-05-27 08:00,17,Good,2,6.7,0.3,5.1,0.31,19,5
58,2024-05-27 08:00,28,Good,10,12.5,0.6,1.6,0.43,24,18.2
57,2024-05-27 08:00,18,Good,2,11,1.5,4.3,0.52,14,8.4
56,2024-05-27 08:00,17,Good,5,10.9,0.3,7.1,0.45,17,5
54,2024-05-27 08:00,26,Good,8,9.1,0.8,6,0.35,14,5.7
53,2024-05-27 08:00,23,Good,8,14.7,1.3,1.7,0.4,24,19.3
52,2024-05-27 08:00,24,Good,5,5.4,1,4.6,0.19,25,3.1
51,2024-05-27 08:00,21,Good,13,8.3,3.5,1.6,0.28,31,12.4
50,2024-05-27 08:00,18,Good,6,7.8,1.5,4.4,0.44,17,6.3
49,2024-05-27 08:00,45,Good,19,14.8,9,4.2,0.46,50,11.8
48,2024-05-27 08:00,19,Good,5,10.2,1.7,3.7,0.33,15,10.7
47,2024-05-27 08:00,14,Good,1,3.7,1.1,8.4,0.15,15,2.1
