site_id,site_name,created_date,PM2.5,SO2,O3
313,Pingtung（fangshan）,2024-05-25 05:00,10.0,0.2,30.8
312,Taichung（Rilana Elementary）,2024-05-25 05:00,7.0,0.6,3.7
311,New Taipei(Shulin),2024-05-25 05:00,12.0,0.3,1.9
204,Pingtung（Liuqiu）,2024-05-25 05:00,15.0,1.1,15.7
203,Tainan（Madou）,2024-05-25 05:00,22.0,0.5,0.1
202,Kaohsiung（Hunei）,2024-05-25 05:00,17.0,0.2,4.0
201,Changhua（Yuanlin）,2024-05-25 05:00,10.0,1.7,5.0
85,Dacheng,2024-05-25 05:00,20.0,1.2,0.7
84,FugueiCape,2024-05-25 05:00,4.0,0.3,21.2
83,Mailiao,2024-05-25 05:00,23.0,1.7,1.7
80,Guanshan,2024-05-25 05:00,2.0,0.6,19.5
78,Magong,2024-05-25 05:00,7.0,1.2,23.4
77,Kinmen,2024-05-25 05:00,25.0,0.6,19.1
75,Matsu,2024-05-25 05:00,9.0,0.4,27.7
72,Puli,2024-05-25 05:00,5.0,1.6,5.0
71,Fuxing,2024-05-25 05:00,14.0,1.5,17.5
70,Yonghe,2024-05-25 05:00,4.0,0.5,9.9
69,Zhushan,2024-05-25 05:00,6.0,0.6,5.9
68,Zhongli,2024-05-25 05:00,9.0,1.1,2.4
67,Sanchong,2024-05-25 05:00,6.0,0.6,1.8
66,Dongshan,2024-05-25 05:00,6.0,0.0,14.2
65,Yilan,2024-05-25 05:00,1.0,1.3,12.8
64,Yangming,2024-05-25 05:00,2.0,0.4,23.7
63,Hualien,2024-05-25 05:00,7.0,0.4,17.8
62,Taitung,2024-05-25 05:00,1.0,0.8,23.8
61,Hengchun,2024-05-25 05:00,2.0,0.5,29.7
60,Chaozhou,2024-05-25 05:00,15.0,0.5,8.0
59,Pingtung,2024-05-25 05:00,11.0,0.7,8.1
58,Xiaogang,2024-05-25 05:00,16.0,1.0,14.0
57,Qianzhen,2024-05-25 05:00,18.0,1.3,18.8
56,Qianjin,2024-05-25 05:00,11.0,1.4,19.7
54,Zuoying,2024-05-25 05:00,17.0,0.8,19.9
53,Nanzi,2024-05-25 05:00,18.0,0.8,11.6
52,Linyuan,2024-05-25 05:00,18.0,2.6,6.2
51,Daliao,2024-05-25 05:00,16.0,8.4,3.1
50,Fengshan,2024-05-25 05:00,10.0,0.9,14.7
49,Renwu,2024-05-25 05:00,18.0,1.5,11.3
48,Qiaotou,2024-05-25 05:00,17.0,1.1,11.9
47,Meinong,2024-05-25 05:00,10.0,0.5,13.7
46,Tainan,2024-05-25 05:00,11.0,1.1,10.7
45,Annan,2024-05-25 05:00,22.0,1.1,2.1
44,Shanhua,2024-05-25 05:00,21.0,0.7,2.1
43,Xinying,2024-05-25 05:00,18.0,1.2,0.0
42,Chiayi,2024-05-25 05:00,15.0,5.7,3.6
41,Taixi,2024-05-25 05:00,21.0,1.2,0.4
40,Puzi,2024-05-25 05:00,22.0,0.8,0.8
39,Xingang,2024-05-25 05:00,12.0,1.2,5.0
38,Lunbei,2024-05-25 05:00,19.0,1.0,0.3
37,Douliu,2024-05-25 05:00,7.0,1.4,4.5
36,Nantou,2024-05-25 05:00,6.0,0.0,4.6
35,Erlin,2024-05-25 05:00,20.0,1.6,1.3
34,Xianxi,2024-05-25 05:00,8.0,1.6,9.6
33,Changhua,2024-05-25 05:00,11.0,0.7,0.6
32,Xitun,2024-05-25 05:00,6.0,1.5,3.6
31,Zhongming,2024-05-25 05:00,10.0,0.7,2.2
30,Dali,2024-05-25 05:00,15.0,0.7,3.3
29,Shalu,2024-05-25 05:00,9.0,0.9,8.8
28,Fengyuan,2024-05-25 05:00,5.0,0.8,9.9
27,Sanyi,2024-05-25 05:00,3.0,0.5,5.5
26,Miaoli,2024-05-25 05:00,6.0,1.0,2.5
25,Toufen,2024-05-25 05:00,5.0,1.9,2.6
24,Hsinchu,2024-05-25 05:00,2.0,0.0,4.2
23,Zhudong,2024-05-25 05:00,8.0,0.4,5.9
22,Hukou,2024-05-25 05:00,17.0,0.5,0.3
21,Longtan,2024-05-25 05:00,10.0,1.1,3.8
20,Pingzhen,2024-05-25 05:00,7.0,0.5,3.7
19,Guanyin,2024-05-25 05:00,12.0,0.6,1.6
18,Dayuan,2024-05-25 05:00,4.0,1.5,0.4
17,Taoyuan,2024-05-25 05:00,10.0,3.6,1.9
16,Datong,2024-05-25 05:00,7.0,0.4,3.8
15,Songshan,2024-05-25 05:00,5.0,0.5,9.5
14,Guting,2024-05-25 05:00,6.0,1.2,9.8
13,Wanhua,2024-05-25 05:00,6.0,0.5,1.9
12,Zhongshan,2024-05-25 05:00,5.0,0.3,3.3
11,Shilin,2024-05-25 05:00,6.0,0.5,12.1
10,Tamsui,2024-05-25 05:00,6.0,0.4,9.1
9,Linkou,2024-05-25 05:00,3.0,0.6,13.0
8,Cailiao,2024-05-25 05:00,5.0,0.6,4.5
7,Xinzhuang,2024-05-25 05:00,13.0,0.3,0.0
6,Banqiao,2024-05-25 05:00,2.0,0.7,11.6
5,Tucheng,2024-05-25 05:00,7.0,0.1,0.5
4,Xindian,2024-05-25 05:00,3.0,0.8,17.0
3,Wanli,2024-05-25 05:00,3.0,0.6,13.3
2,Xizhi,2024-05-25 05:00,6.0,0.3,1.0
1,Keelung,2024-05-25 05:00,2.0,0.4,2.1
313,Pingtung（fangshan）,2024-05-25 04:00,5.0,0.3,30.6
312,Taichung（Rilana Elementary）,2024-05-25 04:00,3.0,0.5,4.4
311,New Taipei(Shulin),2024-05-25 04:00,10.0,0.2,2.9
204,Pingtung（Liuqiu）,2024-05-25 04:00,18.0,0.8,15.9
203,Tainan（Madou）,2024-05-25 04:00,18.0,0.4,1.1
202,Kaohsiung（Hunei）,2024-05-25 04:00,15.0,0.4,9.3
201,Changhua（Yuanlin）,2024-05-25 04:00,12.0,1.8,8.9
85,Dacheng,2024-05-25 04:00,26.0,1.5,1.7
